Window0-Att0,Window0-Att1,Window0-Att2,Window0-Att3,Window0-Att4,Window0-Att5,Window1-Att0,Window1-Att1,Window1-Att2,Window1-Att3,Window1-Att4,Window1-Att5,Window2-Att0,Window2-Att1,Window2-Att2,Window2-Att3,Window2-Att4,Window2-Att5,Window3-Att0,Window3-Att1,Window3-Att2,Window3-Att3,Window3-Att4,Window3-Att5,Window4-Att0,Window4-Att1,Window4-Att2,Window4-Att3,Window4-Att4,Window4-Att5,target,target_2,target_3,target_4,target_5,target_6
23.47,6.71,45.0,29.3,124.8,8.54,23.54,6.69,45.0,29.7,112.8,7.76,24.59,6.69,45.0,29.8,109.7,7.54,23.99,6.68,46.0,30.1,95.6,6.48,23.665,6.67,47.0,30.7,91.3,6.25,0.15287,0.14827,0.15322,0.15377,0.16561,0.15871
23.55,6.63,49.6,32.5,80.1,5.4,23.63,6.62,49.8,32.7,81.4,5.47,23.54,6.62,49.7,32.6,76.9,5.16,23.73,6.62,49.7,32.6,95.7,6.42,24.17,6.61,49.8,32.7,99.85,6.64,0.13406,0.14771,0.14936,0.14928,0.14069,0.14363
23.94,6.67,47.2,30.8,80.1,5.435,22.63,6.625,50.1,32.9,81.45,5.66,23.55,6.63,49.6,32.5,80.1,5.4,23.63,6.62,49.8,32.7,81.4,5.47,23.54,6.62,49.7,32.6,76.9,5.16,0.1282,0.14726,0.15676,0.15777,0.13645,0.13782
21.35,6.6,46.0,29.9,84.3,5.98,21.535,6.59,44.65,28.85,86.9,6.225,21.985,6.58,44.15,28.5,92.65,6.63,22.7,6.6,42.3,27.2,98.7,7.0,23.58,6.605,42.7,27.5,87.5,6.125,0.17403,0.14804,0.1264,0.12381,0.07857,0.07317
22.7,6.6,42.3,27.2,98.7,7.0,23.58,6.605,42.7,27.5,87.5,6.125,23.685,6.6,42.7,27.5,85.5,5.945,23.7,6.6,42.45,27.3,84.35,5.845,25.69,6.61,41.8,26.9,78.0,5.29,0.1739,0.1476,0.12778,0.12546,0.0719,0.06786
13.34,5.13,46.0,30.1,42.6,3.55,13.63,5.11,48.0,31.3,46.0,3.79,14.27,5.12,47.0,31.1,46.7,3.79,14.19,5.15,45.0,29.7,45.1,3.75,14.75,5.15,45.0,29.7,51.6,4.23,0.11138,0.1149,0.14489,0.14433,0.08324,0.09171
17.29,5.13,47.0,30.6,48.1,3.71,18.02,5.15,46.0,29.9,75.3,5.59,18.73,5.15,46.0,30.3,72.5,5.31,19.57,5.14,47.0,30.8,61.9,4.54,20.96,6.65,48.0,31.5,119.2,8.27,0.14682,0.1504,0.13565,0.13631,0.22583,0.22595
24.59,6.69,45.0,29.8,109.7,7.54,23.99,6.68,46.0,30.1,95.6,6.48,23.665,6.67,47.0,30.7,91.3,6.25,23.94,6.67,47.2,30.8,80.1,5.435,22.63,6.625,50.1,32.9,81.45,5.66,0.15078,0.14804,0.15399,0.15471,0.15151,0.14622
19.9,6.575,50.85,33.45,78.85,5.575,20.83,6.58,49.55,32.5,80.9,5.75,20.81,6.595,48.45,31.65,81.3,5.81,20.94,6.6,47.35,30.85,82.7,5.9,21.35,6.6,46.0,29.9,84.3,5.98,0.15268,0.14782,0.13087,0.12877,0.14597,0.14449
22.63,6.625,50.1,32.9,81.45,5.66,23.55,6.63,49.6,32.5,80.1,5.4,23.63,6.62,49.8,32.7,81.4,5.47,23.54,6.62,49.7,32.6,76.9,5.16,23.73,6.62,49.7,32.6,95.7,6.42,0.13419,0.14737,0.15276,0.15329,0.14,0.14214
