ASM_A_MeanT,ASD_A_SDevT,BSM_B_MeanT,BSD_B_SDevT,CSM_C_MeanT,CSD_C_SDevT,ISM_I_MeanT,ISD_I_SDevT,ALM_A_MeanT,ALD_A_SDevT,BLM_B_MeanT,BLD_B_SDevT,CLM_C_MeanT,CLD_C_SDevT,ILM_I_MeanT,ILD_I_SDevT,target_DFlow,target_DGap
-4.65,0.18,0.43,0.26,5.69,0.32,2.14,0.43,-4.6,0.13,0.58,0.38,5.78,0.3,2.56,0.41,0.0,0.12127
-4.58,0.04,1.12,0.02,5.12,0.0,2.39,0.12,-4.56,0.11,1.1,0.06,5.13,0.05,2.18,0.3,0.0,-0.12127
-4.86,0.04,0.33,0.13,5.83,0.15,0.97,0.03,-4.85,0.15,0.27,0.16,5.67,0.36,1.07,0.39,0.0,0.12127
-4.65,0.01,1.13,0.0,5.23,0.05,2.78,0.01,-4.62,0.02,1.13,0.01,5.25,0.07,2.76,0.07,0.0,0.12127
-4.51,0.1,1.07,0.06,5.12,0.01,2.22,0.31,-4.59,0.09,1.04,0.17,5.21,0.22,2.31,0.3,0.0,-0.12127
-4.77,0.13,0.51,0.34,5.75,0.22,1.84,0.72,-4.7,0.13,0.56,0.28,5.7,0.24,2.2,0.53,0.0,0.12127
-4.64,0.0,1.13,0.0,5.15,0.02,2.75,0.01,-4.68,0.1,0.8,0.32,5.49,0.32,2.28,0.49,0.0,0.0
-4.53,0.09,1.08,0.05,5.56,0.19,2.68,0.2,-4.56,0.09,1.07,0.11,5.47,0.29,2.62,0.21,0.0,0.0
-4.64,0.01,1.13,0.01,5.16,0.07,2.67,0.09,-4.61,0.1,0.91,0.29,5.39,0.33,2.44,0.32,0.0,-0.12127
-4.61,0.1,0.88,0.24,5.4,0.21,2.25,0.65,-4.78,0.13,0.45,0.32,5.79,0.28,1.45,0.67,0.0,0.0
-4.51,0.11,1.09,0.03,5.12,0.0,2.23,0.16,-4.56,0.11,1.1,0.04,5.13,0.04,2.36,0.17,0.0,-0.12127
-4.58,0.1,1.11,0.03,5.13,0.01,2.42,0.08,-4.62,0.06,1.13,0.02,5.12,0.01,2.57,0.1,0.0,-0.12127
-4.83,0.07,0.27,0.17,5.9,0.08,1.15,0.31,-4.69,0.12,0.57,0.35,5.83,0.22,2.08,0.8,0.0,0.12127
-4.51,0.29,0.74,0.28,5.53,0.23,2.11,0.34,-4.72,0.21,0.57,0.32,5.7,0.25,1.87,0.56,0.19612,0.0
-4.47,0.07,1.05,0.04,5.12,0.0,1.82,0.07,-4.51,0.14,1.07,0.07,5.12,0.01,2.28,0.4,-0.19612,0.0
