oz1,oz2,oz3,oz4,oz5,oz6,oz7,oz8,oz9,oz10,oz11,oz12,oz13,oz14,oz15,oz16,oz17,oz18,oz19,oz20,target_oz21,target_oz22,target_oz23,target_oz24,target_oz25,target_oz26
0.479711,-1.330197,-0.422768,0.459912,1.593346,0.332009,0.173867,-0.28977,-1.336768,-0.862823,1.184216,-1.741772,-1.105015,1.192582,0.238435,0.051712,0.421328,-0.039704,0.869987,-1.552352,-0.0062,0.04794,-0.07424,-0.07665,0.00647,-0.01504
-1.188774,0.416388,-0.808596,-1.26778,-1.174311,-0.245925,-0.153343,-1.553453,-1.483624,-0.336224,1.147836,-0.460231,-1.449064,1.035321,1.110141,0.655908,-1.375738,-0.074317,1.08332,0.714059,0.07667,-0.04172,0.03053,0.07794,-0.02906,-0.0657
-1.586741,1.585687,-0.163523,0.774114,-0.664314,-1.133611,1.592086,-0.959054,-1.092229,-1.527932,-1.021338,-0.344528,0.495437,-1.465535,-1.373485,-0.255579,1.026129,-0.134982,1.484617,1.322846,-0.07478,0.03308,0.05557,-0.02059,-0.03185,-0.03743
1.364266,1.405257,-0.561739,-0.816019,-0.549232,1.384001,0.757962,1.117633,0.93591,-0.747483,1.036561,-1.168446,-1.80395,1.347018,-1.223785,-0.211893,1.5937,-0.295774,-0.788638,-0.129829,-0.04799,-0.00063,0.01019,-0.02976,0.07735,-0.04338
1.447423,-1.163029,1.53888,1.772621,-0.275472,1.566965,1.373139,-1.621081,-1.046918,1.026801,0.348645,-0.083602,-0.273972,-0.590671,-1.582927,0.583809,0.970722,0.191094,0.27537,-0.472866,-0.07608,-0.06035,0.07521,0.02379,0.03376,0.05171
1.107699,-0.773947,0.09994,1.640737,-0.442836,-1.526173,-0.745678,-0.345585,0.183463,-0.566652,-1.400882,-1.289129,-0.977192,-0.557245,-0.300231,0.806335,-1.647797,-1.78598,-0.11853,-1.670717,0.07494,0.00405,-0.05277,-0.04932,0.0127,0.03587
0.840496,-0.901018,1.558664,1.770833,-1.630089,-0.91424,-0.24129,0.692139,-1.257887,-0.581827,-0.46898,-0.239774,-0.897086,-0.435818,1.138853,-1.461549,-0.52283,-0.936719,-1.585009,-0.635116,-0.00394,-0.06043,-0.07054,-0.075,-0.03538,0.05234
-0.053658,-0.006682,0.79853,-0.148359,1.312995,-0.289817,1.452884,-1.253866,-0.938001,0.292889,-0.305931,-0.948667,1.339093,0.278257,1.565233,0.236311,0.51508,-0.419491,-0.395793,-1.065441,0.0583,-0.06368,-0.05863,-0.04502,0.07196,0.02482
-0.574352,-1.402999,-1.447391,-1.5486,0.248898,-1.263271,-0.757551,1.15414,-0.673303,0.656254,1.785824,-1.598126,0.157278,-1.614253,-1.25886,-0.50701,-1.354544,1.614451,1.207035,-1.300556,-0.07778,0.04175,-0.03802,-0.03568,-0.06959,-0.06658
0.164938,-0.676975,0.896375,-0.597856,1.395671,1.651767,1.142662,-0.633122,-1.563376,-0.909211,-0.653026,-0.106684,-0.329914,-1.417195,1.568417,1.043298,1.231157,-1.375139,0.903111,1.100302,0.06496,-0.03813,0.07558,-0.03237,0.07459,0.00789
1.725305,0.116222,-1.252347,0.937328,0.873627,-0.234546,-1.203676,-1.002373,0.220549,-1.352358,1.312275,-1.477925,-1.212411,1.024476,1.37588,-0.098266,-1.346002,0.55084,-1.490474,1.587015,0.07254,0.02312,-0.00196,0.01974,0.0122,0.08972
-0.851226,1.117325,0.521482,-0.717025,1.447475,-0.442455,0.656857,0.88424,-0.057558,-1.340212,-1.629778,-1.244708,1.216475,1.408882,1.384939,-1.416762,-1.689852,0.025817,-1.367037,1.774185,-0.05162,-0.04042,0.05144,-0.05478,0.07523,-0.00669
-0.221256,1.490486,-0.198808,-1.007541,0.575333,-1.359314,0.94615,0.321591,-0.871539,-1.588017,1.59517,0.011956,-0.043636,1.617997,-0.126939,-1.123371,-0.628954,1.474952,-0.682849,-0.841,0.03038,0.00384,-0.00639,0.02809,-0.06496,0.00606
-1.016381,0.469418,-1.347387,-0.210902,-0.36145,1.165501,0.69231,-1.052808,0.333407,-1.081339,0.036463,1.616206,-0.212233,-0.925571,0.234924,-0.742435,-0.806994,-0.537318,0.95643,0.307771,-0.01963,-0.07549,-0.03474,0.04457,0.0668,-0.00962
1.296675,-0.654921,-0.909703,0.38707,-1.438641,-0.495728,-0.605135,-0.246225,1.257563,-1.061331,-1.475286,-1.175397,0.497793,0.504747,0.873475,1.350427,-0.088915,0.693916,-0.893868,-0.566774,-0.00799,-0.068,0.03774,0.04047,-0.02502,-0.00579
0.611901,1.634667,0.352114,-0.906861,-1.108436,-1.409136,0.065666,1.036955,1.274205,-0.243681,-0.551617,-0.561263,-0.329591,-0.036569,0.92809,1.319373,0.670259,-1.064933,-0.127372,-1.423647,-0.06228,-0.04137,-0.01505,-0.07382,0.00895,-0.02352
-1.005411,-0.413963,-0.743132,0.664656,1.14806,1.644676,-1.26672,-1.102669,0.363167,-1.363884,0.37319,1.508817,1.441113,1.759087,0.311776,1.531772,1.001875,1.28207,0.733522,0.97126,0.00451,-0.00276,0.06053,0.01044,0.00313,0.00696
1.593455,1.784304,1.571551,0.383184,-0.46265,0.190258,0.721478,0.254612,-0.066035,-0.06855,-1.211976,0.341889,1.251064,1.612465,1.502367,-1.013642,-0.468869,-0.389452,1.731688,1.673195,0.00481,-0.00138,0.00668,-0.03847,-0.04744,-0.01301
-0.719359,0.224704,0.895347,-0.576486,-0.02674,0.6883,-0.598925,1.515831,0.874004,0.001792,-0.439568,-1.026093,1.247259,1.355462,-0.827531,-0.162992,0.521961,-0.981172,1.733141,-1.687727,-0.0279,-0.06478,0.06465,0.07181,0.0418,-0.02235
-0.816082,-1.658387,-1.257095,1.674595,0.88953,1.662416,-0.859337,1.041165,0.053788,1.130684,-1.378299,1.517775,0.200821,-0.553545,-0.655932,-0.223489,1.077225,-1.416497,0.690916,1.52694,-0.05338,-0.07265,0.01534,0.05044,-0.05608,0.0197
-0.638771,-0.236115,1.157967,0.939759,1.132105,-0.27282,1.316416,0.263706,0.004083,-0.656906,0.19943,1.570102,-0.332647,-0.075431,0.440303,-0.821796,0.743419,1.768582,-1.201601,0.179087,-0.01723,0.06197,-0.02751,-0.07788,0.06573,0.04872
-0.103739,0.480515,1.209015,-0.030832,-0.799628,-0.323076,0.297892,0.320144,-0.76,1.014073,-1.416627,-1.773633,-0.302102,1.481989,-0.423658,-1.591718,-1.214668,-1.79128,1.068439,-1.665163,-0.02572,-0.0457,0.01209,0.05794,0.00844,0.02213
1.110132,-0.223632,0.959076,0.007997,1.2864,0.762198,-0.220579,0.899278,-0.172587,-0.556051,-0.640417,0.110864,-1.521275,-0.724606,0.603677,0.274145,0.38109,0.698656,1.474433,0.618678,-0.03879,-0.00637,0.04287,0.05469,0.05303,0.0578
-0.430505,1.083002,-0.21775,-0.152001,-0.547004,1.093485,-1.65271,0.829461,0.96862,0.537655,-0.925506,0.131464,-0.668209,-1.585586,-1.532667,-0.209252,1.442261,1.460425,0.022231,1.034428,0.06348,0.02336,0.01446,-0.00246,-0.05701,-0.00776
1.108597,-0.362535,-1.678567,-1.68441,1.161819,0.458226,-0.200874,-1.325788,-0.714382,-0.935068,0.62305,1.717549,-1.525059,1.466733,-1.204199,0.839567,-0.665302,-0.801668,-0.142421,-0.953063,-0.04631,-0.03246,0.04575,-0.05141,0.01664,0.00348
1.20042,1.154262,0.423184,-0.018887,0.57675,1.161188,1.588342,0.989147,-1.493864,-1.391749,-0.004287,1.5458,0.141658,1.773545,-1.411404,1.320876,-0.474271,-0.750944,-1.002825,-1.411967,0.0467,0.05911,0.02377,0.02361,0.06253,0.00249
-0.729169,-0.496277,-1.265194,0.342358,-0.798663,-0.703327,-1.585063,-1.43983,0.698203,1.277986,1.509044,-0.854295,-0.123422,0.8402,1.221721,1.128997,-1.102731,-0.189715,-1.183122,-0.601658,-0.023,0.07096,-0.01672,-0.01659,-0.01344,-0.00597
1.003734,0.556852,-1.113419,1.069817,-0.637288,0.464419,-1.555766,1.293215,-1.561784,0.448636,1.606136,-0.10075,-1.654081,-1.045895,0.454495,0.896009,1.275559,-0.103692,0.203364,-0.13996,-0.05571,-0.06267,0.07776,0.04269,0.04314,0.04271
-0.973696,-1.085155,1.409514,0.451589,-0.832523,1.292287,0.458816,-1.275153,1.372351,0.704126,0.325371,1.523745,0.13829,1.052867,0.920065,-0.003834,-1.456076,-1.499386,1.324832,1.438707,-0.01811,0.01105,0.04484,0.01012,-0.07419,-0.0031
0.85654,0.528668,-0.947755,0.718,1.189211,-0.790711,0.789792,-0.340829,0.353395,-1.298707,-0.097086,1.726255,-0.216105,1.3507,0.54716,0.49103,1.285961,-0.278753,1.108235,-1.199712,-0.03302,0.07818,-0.06998,0.00408,-0.0686,0.07718
1.649249,0.254245,-1.70904,0.165869,-0.866985,-0.114512,0.434432,0.633914,1.127656,1.355134,-1.207269,0.19936,0.185889,-1.584539,1.551164,0.132969,-0.08971,1.187505,-0.940347,1.605111,-0.07396,0.00421,0.04883,0.01852,-0.02843,0.05646
1.501592,1.400558,0.798647,0.075975,0.707778,0.415793,0.221648,-0.872344,1.323003,-1.447591,-0.274808,0.551343,-0.922197,-0.394721,-1.585996,0.014914,-0.936315,0.503492,-0.631329,0.462449,-0.05905,0.06507,0.06657,-0.04107,0.04937,-0.00971
1.023804,-1.561366,0.271041,1.086125,-1.43658,1.622245,-0.465137,-1.174306,0.982663,0.823386,-0.689412,0.472802,0.856446,1.428125,-0.854023,-0.047267,-0.049882,0.184911,0.553332,-0.718367,-0.03736,0.03114,0.04887,0.06972,-0.04192,-0.06055
0.130942,0.561992,-0.630045,0.830747,-0.32652,-0.619327,0.440959,-0.211651,-0.836202,1.51021,-0.356783,-0.029861,1.689081,-1.415093,1.221229,-0.344963,-0.371559,-0.000862,-1.360456,-1.384004,0.02395,-0.05838,-0.00026,-0.04891,0.06889,0.0418
1.655004,0.204959,-0.727732,0.204693,-1.450095,-1.369011,-1.571331,1.501511,-0.724649,0.031026,1.61638,1.504411,0.968778,1.001061,-0.315845,0.556661,-1.222517,-1.452676,-0.239942,0.290883,0.03395,-0.00381,0.05561,0.03547,0.0425,0.01392
