oz1,oz2,oz3,oz4,oz5,oz6,oz7,oz8,oz9,oz10,oz11,oz12,oz13,oz14,oz15,oz16,oz17,oz18,oz19,oz20,target_oz21,target_oz22,target_oz23,target_oz24,target_oz25,target_oz26
-1.031001,-1.356637,-0.360269,-0.560727,-0.092689,0.039466,-1.114575,-0.645926,1.389803,-1.563864,-0.766859,0.018702,0.986612,0.321153,-0.047021,0.924309,0.283292,-1.370633,-1.38049,-0.117384,0.03812,-0.01166,0.07321,0.0031,0.00634,-0.06685
0.210506,-1.523664,-1.783295,1.635997,0.589066,-1.080524,1.606012,1.180741,-1.157091,-1.147361,-0.80494,-0.495063,1.281849,-1.420247,1.193547,-1.205337,-1.397627,-1.066994,1.204087,-0.221157,-0.00339,0.00065,0.03192,0.02445,0.0756,0.04343
-0.701231,-1.469768,-0.570576,0.024566,-0.758883,-0.354231,-1.522947,-1.334612,-0.711134,0.590475,0.349782,0.39398,0.390304,-1.412385,0.534198,-0.267723,-1.392993,1.182403,1.397359,1.674607,-0.07639,-0.05783,-0.04186,-0.01162,-0.06939,-0.05558
-1.254195,-0.714288,-1.209791,1.712059,-0.201947,1.568689,-1.698222,-0.482162,1.69403,0.878535,-0.354848,0.449628,1.55597,-0.287006,-1.123094,-1.02957,-0.126701,-1.368645,0.733566,-1.218912,0.06125,-0.00154,0.05945,0.00592,-0.05876,0.01461
-0.680461,1.57859,-1.513706,-1.188931,1.335267,-0.052376,0.629738,0.254748,0.71544,0.425155,-0.497439,1.156113,1.080648,-1.56095,-1.279616,0.934958,0.739283,1.393106,-0.167249,0.406702,-0.02018,0.01087,0.01671,0.05686,-0.05671,0.02361
1.650191,-0.259963,0.581005,-0.563945,0.424485,-0.906652,-0.114408,1.257751,-0.171571,0.068229,-1.060514,1.606759,0.666593,-0.516393,0.206228,1.619563,-0.614275,1.051325,1.69491,-0.70555,0.00748,0.05838,-0.02915,-0.05446,-0.0381,0.00835
-0.522006,1.715599,-0.184098,-1.632368,-0.520123,0.12935,0.358084,0.995887,0.96722,-1.245013,0.204568,0.927279,0.454094,0.542456,-1.435006,-1.649515,1.443153,-0.368785,0.546639,0.227492,-0.05642,-0.05171,-0.0266,0.07824,-0.00826,-0.02296
-0.799166,-1.135102,-1.46092,-0.333312,0.712587,-1.376075,0.645483,0.415283,0.022552,-1.043237,-1.453397,-0.407592,0.645954,-0.456102,-0.824605,-0.970019,-0.905667,0.538842,-0.078655,-1.172276,-0.04822,0.03386,-0.07616,0.07026,0.01802,-0.02148
0.403008,-0.611177,-0.516902,0.333993,0.535116,-1.609009,1.562268,0.619876,-1.582037,0.973136,0.133742,-0.457508,-1.440669,-0.692433,0.804806,-0.168431,-0.175742,-1.213405,-1.375514,1.437379,0.0716,0.01388,0.07173,-0.03982,0.07683,-0.0031
0.005273,1.223554,-0.987542,0.477292,-0.967251,0.972078,1.496316,0.716297,-0.021633,0.072004,-1.592398,1.073081,-1.276254,-1.442434,-0.49412,-1.114222,0.356546,0.200123,0.741516,0.201169,0.04024,0.04438,0.0184,-0.06546,-0.01765,0.02945
