timeunit,storageCost,interestRate,compidx0lt2,compidx0lt2l1,compidx0lt2l2,compidx0lt2l4,compidx0lt2l8,compidx1lt2,compidx2lt2,compidx3lt2,compidx4lt2,compidx4lt2l1,compidx4lt2l2,compidx4lt2l4,compidx4lt2l8,compidx5lt2,compidx6lt2,compidx6lt2l1,compidx6lt2l2,compidx6lt2l4,compidx6lt2l8,compidx7lt2,compidx8lt2,compidx8lt2l1,compidx8lt2l2,compidx8lt2l4,compidx8lt2l8,compidx9lt2,compidx10lt2,compidx10lt2l1,compidx10lt2l2,compidx10lt2l4,compidx10lt2l8,compidx11lt2,compidx12lt2,compidx12lt2l1,compidx12lt2l2,compidx12lt2l4,compidx12lt2l8,compidx13lt2,compidx14lt2,compidx14lt2l1,compidx14lt2l2,compidx14lt2l4,compidx14lt2l8,compidx15lt2,compidx0lt6,compidx0lt6l1,compidx0lt6l2,compidx0lt6l4,compidx0lt6l8,compidx1lt6,compidx2lt6,compidx3lt6,compidx4lt6,compidx4lt6l1,compidx4lt6l2,compidx4lt6l4,compidx4lt6l8,compidx5lt6,compidx6lt6,compidx6lt6l1,compidx6lt6l2,compidx6lt6l4,compidx6lt6l8,compidx7lt6,compidx8lt6,compidx8lt6l1,compidx8lt6l2,compidx8lt6l4,compidx8lt6l8,compidx9lt6,compidx10lt6,compidx10lt6l1,compidx10lt6l2,compidx10lt6l4,compidx10lt6l8,compidx11lt6,compidx12lt6,compidx12lt6l1,compidx12lt6l2,compidx12lt6l4,compidx12lt6l8,compidx13lt6,compidx14lt6,compidx14lt6l1,compidx14lt6l2,compidx14lt6l4,compidx14lt6l8,compidx15lt6,compidx0lt10,compidx0lt10l1,compidx0lt10l2,compidx0lt10l4,compidx0lt10l8,compidx1lt10,compidx2lt10,compidx3lt10,compidx4lt10,compidx4lt10l1,compidx4lt10l2,compidx4lt10l4,compidx4lt10l8,compidx5lt10,compidx6lt10,compidx6lt10l1,compidx6lt10l2,compidx6lt10l4,compidx6lt10l8,compidx7lt10,compidx8lt10,compidx8lt10l1,compidx8lt10l2,compidx8lt10l4,compidx8lt10l8,compidx9lt10,compidx10lt10,compidx10lt10l1,compidx10lt10l2,compidx10lt10l4,compidx10lt10l8,compidx11lt10,compidx12lt10,compidx12lt10l1,compidx12lt10l2,compidx12lt10l4,compidx12lt10l8,compidx13lt10,compidx14lt10,compidx14lt10l1,compidx14lt10l2,compidx14lt10l4,compidx14lt10l8,compidx15lt10,compidx0lt20,compidx0lt20l1,compidx0lt20l2,compidx0lt20l4,compidx0lt20l8,compidx1lt20,compidx2lt20,compidx3lt20,compidx4lt20,compidx4lt20l1,compidx4lt20l2,compidx4lt20l4,compidx4lt20l8,compidx5lt20,compidx6lt20,compidx6lt20l1,compidx6lt20l2,compidx6lt20l4,compidx6lt20l8,compidx7lt20,compidx8lt20,compidx8lt20l1,compidx8lt20l2,compidx8lt20l4,compidx8lt20l8,compidx9lt20,compidx10lt20,compidx10lt20l1,compidx10lt20l2,compidx10lt20l4,compidx10lt20l8,compidx11lt20,compidx12lt20,compidx12lt20l1,compidx12lt20l2,compidx12lt20l4,compidx12lt20l8,compidx13lt20,compidx14lt20,compidx14lt20l1,compidx14lt20l2,compidx14lt20l4,compidx14lt20l8,compidx15lt20,compidx0lt30,compidx0lt30l1,compidx0lt30l2,compidx0lt30l4,compidx0lt30l8,compidx1lt30,compidx2lt30,compidx3lt30,compidx4lt30,compidx4lt30l1,compidx4lt30l2,compidx4lt30l4,compidx4lt30l8,compidx5lt30,compidx6lt30,compidx6lt30l1,compidx6lt30l2,compidx6lt30l4,compidx6lt30l8,compidx7lt30,compidx8lt30,compidx8lt30l1,compidx8lt30l2,compidx8lt30l4,compidx8lt30l8,compidx9lt30,compidx10lt30,compidx10lt30l1,compidx10lt30l2,compidx10lt30l4,compidx10lt30l8,compidx11lt30,compidx12lt30,compidx12lt30l1,compidx12lt30l2,compidx12lt30l4,compidx12lt30l8,compidx13lt30,compidx14lt30,compidx14lt30l1,compidx14lt30l2,compidx14lt30l4,compidx14lt30l8,compidx15lt30,sku1,sku1l1,sku1l2,sku1l4,sku1l8,sku2,sku9,sku10,sku10l1,sku10l2,sku10l4,sku10l8,sku11,sku11l1,sku11l2,sku11l4,sku11l8,sku12,sku12l1,sku12l2,sku12l4,sku12l8,sku13,sku13l1,sku13l2,sku13l4,sku13l8,sku14,sku14l1,sku14l2,sku14l4,sku14l8,sku15,sku15l1,sku15l2,sku15l4,sku15l8,sku16,sku16l1,sku16l2,sku16l4,sku16l8,demandseg1,demandseg1l1,demandseg1l2,demandseg1l4,demandseg1l8,demandseg2,demandseg2l1,demandseg2l2,demandseg2l4,demandseg2l8,demandseg3,demandseg3l1,demandseg3l2,demandseg3l4,demandseg3l8,target_LBL,target_MTLp2,target_MTLp3,target_MTLp4,target_MTLp5,target_MTLp6,target_MTLp7,target_MTLp8,target_MTLp9,target_MTLp10,target_MTLp11,target_MTLp12,target_MTLp13,target_MTLp14,target_MTLp15,target_MTLp16
83,39,11,888.0,575.0,710.0,520.0,860.0,852.0,570.0,2400.0,356.0,380.0,366.0,346.0,325.0,178.0,308.0,371.0,379.0,352.0,327.0,231.0,60.0,60.0,60.0,77.0,62.0,285.0,69.0,60.0,60.0,56.0,63.0,225.0,177.0,178.0,178.0,172.0,167.0,509.0,177.0,178.0,178.0,174.0,174.0,400.0,898.65,817.892,841.199,811.892,874.665,866.691,650.408,1783.801,293.825,295.92,282.997,270.051,273.326,230.644,274.382,274.0,291.319,305.434,273.139,246.896,90.184,91.479,89.505,94.099,87.414,216.374,85.422,77.591,76.953,71.745,73.898,204.0,158.995,162.379,159.753,158.45,174.582,440.434,164.308,162.0,180.299,178.779,175.087,387.263,943.435,916.307,916.637,874.556,895.083,857.02,686.146,1597.451,251.218,267.647,264.428,264.555,266.098,224.522,259.357,264.324,271.146,272.573,255.005,247.861,88.029,89.107,90.335,96.994,93.441,211.33,86.294,85.101,84.488,83.296,82.0,201.27,162.66,156.0,165.0,157.0,188.548,417.91,186.203,188.247,200.68,217.029,206.104,370.493,898.0,879.618,871.0,876.192,851.801,1076.313,656.253,1593.011,244.673,247.229,247.121,243.546,240.0,221.204,230.0,240.571,239.893,235.596,235.201,217.805,80.0,84.0,83.0,87.0,89.271,199.927,83.0,82.208,82.382,82.0,83.0,194.723,182.496,183.546,183.898,182.0,198.0,406.0,210.518,215.0,217.0,233.932,216.79,356.183,915.064,889.798,898.914,882.913,881.612,1142.973,695.43,1630.388,238.536,248.247,247.705,245.134,246.821,215.651,239.293,240.508,238.033,236.448,230.559,221.027,82.313,83.722,86.183,90.211,92.64,205.065,84.922,84.181,86.008,84.131,85.297,195.939,198.661,196.181,197.681,198.349,215.305,400.041,220.223,224.565,232.267,245.725,241.162,364.354,1491,1491,1491,1491,1491,1696,1178,1329,1329,1338,1381,1440,1396,1396,1396,1373,1375,1997,1945,1527,1571,1556,2128,2084,2084,2103,2258,2328,2216,2216,2230,2015,2235,2267,2232,2208,2451,2409,2419,2419,2411,2700,27,31,35,27,26,96,105,108,88,119,85,80,85,96,101,0.01125,0.01239,0.01191,0.01219,0.00911,0.01005,0.0097,0.01191,0.0098,0.01038,0.01048,0.012,0.01378,0.01432,0.01397,0.0142
84,27,10,614.786,607.535,648.22,626.541,589.463,1402.217,822.658,879.514,231.549,226.915,224.871,227.759,228.937,148.906,146.904,145.404,150.511,148.097,141.92,147.694,62.967,64.072,63.229,61.958,60.504,165.496,64.672,63.504,62.786,59.324,68.228,122.556,177.274,180.14,177.403,170.573,163.038,235.107,233.796,227.407,226.939,206.837,234.675,496.06,552.174,542.986,578.413,577.92,534.459,1327.508,668.0,808.431,218.445,214.885,214.0,214.006,212.216,135.674,135.372,134.212,136.0,134.124,129.473,136.943,56.792,58.708,57.0,57.512,54.177,152.524,59.948,58.287,56.0,54.107,65.745,127.702,160.762,158.173,155.568,161.496,160.0,210.0,218.095,212.008,208.371,195.0,229.053,465.549,544.0,528.987,537.404,534.67,533.838,1303.727,825.212,771.0,210.698,207.827,209.0,224.637,211.309,127.0,135.0,147.334,154.364,140.611,131.647,128.0,60.858,60.0,60.005,55.958,52.237,150.239,63.576,63.0,62.254,57.233,66.995,153.12,156.0,151.766,151.389,153.0,158.396,250.0,219.0,212.19,216.733,217.0,226.238,448.0,672.13,642.174,633.986,610.763,598.621,1282.271,841.576,780.925,198.748,201.402,202.897,207.0,210.643,129.525,163.877,166.114,180.605,177.0,165.744,132.94,74.079,73.747,73.663,65.291,63.405,148.897,67.035,66.35,66.004,66.312,67.935,158.989,156.645,154.777,153.0,149.717,160.668,282.339,216.281,212.155,212.0,213.574,219.067,420.337,658.063,646.659,635.325,623.747,629.7,1217.326,809.982,866.0,196.626,192.984,198.548,200.782,206.089,129.361,168.839,170.834,180.046,176.352,173.225,151.307,74.381,73.719,73.034,68.446,68.222,149.386,70.533,69.952,69.651,68.311,68.715,154.76,156.51,156.171,156.0,152.901,195.693,301.0,214.148,212.778,212.0,208.928,210.974,396.0,1117,1013,1027,1037,997,1149,1373,1474,1423,1423,1373,1350,1467,1412,1369,1381,1340,1588,1474,1474,1490,1503,1256,1261,1245,1285,1326,1458,1420,1436,1416,1431,1392,1372,1296,1323,1488,1516,1468,1535,1477,1511,115,87,111,100,71,141,105,96,84,67,42,30,41,31,43,0.00872,0.00929,0.00891,0.0095,0.01112,0.0106,0.0111,0.01098,0.01006,0.01148,0.0104,0.01155,0.00775,0.00835,0.00826,0.00846
205,31,9,591.778,597.209,592.08,625.808,588.467,878.981,562.409,865.27,149.541,144.616,143.028,147.947,146.668,144.119,146.866,148.572,141.275,147.164,154.847,190.796,115.091,113.714,115.606,122.583,129.661,114.519,120.462,117.433,115.112,123.736,135.395,111.706,252.061,252.778,258.335,274.225,290.989,229.54,293.292,281.046,292.921,311.379,355.537,227.816,500.0,513.005,512.863,537.463,514.658,754.0,504.076,769.26,133.0,127.219,126.226,129.0,132.898,131.235,133.105,136.479,126.436,130.0,144.713,169.982,93.67,93.0,99.266,107.56,110.0,103.599,103.279,101.0,99.708,106.89,117.0,103.012,234.0,216.104,222.99,238.918,244.236,209.0,269.0,233.296,241.044,264.065,310.0,205.0,507.267,503.969,504.345,502.0,521.665,788.915,512.691,777.175,129.939,127.171,127.294,130.431,128.929,130.82,131.641,135.032,131.0,132.261,133.289,176.701,79.765,80.0,92.522,92.165,99.862,103.44,90.363,93.735,95.284,98.294,108.342,104.0,233.053,233.0,230.873,239.209,227.886,209.04,242.0,232.733,236.05,266.673,292.609,210.43,574.0,561.318,550.285,532.225,509.0,870.626,556.323,854.482,143.542,139.303,136.923,132.311,131.11,148.765,146.874,145.114,140.024,134.258,137.886,180.256,84.302,80.58,83.091,81.093,82.327,113.143,91.023,89.393,88.797,87.993,86.824,115.774,227.767,220.937,215.799,208.468,201.513,225.695,239.011,229.649,227.814,226.78,241.384,236.313,740.205,723.258,713.237,677.18,623.254,1081.262,684.936,1087.224,184.173,178.086,176.167,169.866,159.154,184.718,186.77,186.856,179.413,169.842,156.098,226.422,111.86,98.749,101.103,98.406,95.739,145.536,117.093,114.579,107.066,106.728,96.54,146.545,286.73,280.037,272.746,267.405,256.397,282.48,308.785,295.605,293.827,279.445,281.197,310.003,1256,1250,1250,1312,1240,1235,1250,1250,1316,1316,1316,1323,1307,1307,1307,1290,1309,1293,1293,1293,1293,1379,1617,1617,1617,1689,1689,1662,1662,1662,1662,1662,1587,1593,1593,1580,1641,1606,1606,1664,1701,1701,43,31,44,49,53,40,20,38,23,34,91,86,81,87,80,0.00992,0.00927,0.00932,0.00861,0.0099,0.00957,0.00955,0.00912,0.01003,0.00975,0.00977,0.00924,0.00987,0.00944,0.00943,0.00906
106,26,9,1277.0,1322.0,1353.0,1000.0,1055.0,893.0,537.0,821.0,148.0,148.0,147.0,141.0,133.0,286.0,148.0,148.0,137.0,138.0,134.0,274.0,65.0,68.0,53.0,81.0,99.0,118.0,100.0,88.0,73.0,99.0,56.0,118.0,177.0,177.0,157.0,156.0,175.0,238.0,177.0,177.0,158.0,157.0,175.0,238.0,1055.0,1064.0,1071.0,1001.719,1011.0,1055.038,529.57,877.201,146.71,140.391,135.177,133.277,139.803,265.901,183.75,167.247,171.0,175.775,145.743,258.95,85.331,86.538,85.0,86.744,80.884,106.0,98.312,93.559,95.0,98.731,74.905,105.0,183.859,179.537,176.453,164.3,188.651,223.361,163.046,168.267,159.369,160.394,165.45,208.0,1032.657,1040.862,1043.206,994.626,1011.308,1163.592,610.231,989.263,157.113,148.455,142.212,132.444,140.634,250.678,181.11,177.316,181.651,193.092,168.22,250.917,84.878,86.244,82.363,85.987,83.981,105.483,89.792,89.247,89.78,95.365,83.803,111.815,202.976,199.757,194.306,192.871,206.149,218.865,167.228,169.271,167.528,177.118,184.184,229.444,1005.899,1021.2,1014.049,975.0,1002.634,1166.0,699.0,997.0,186.384,180.008,160.268,157.594,132.107,242.987,192.0,187.576,186.719,189.276,173.0,243.0,78.897,77.085,75.493,78.0,80.0,103.0,78.992,78.0,80.0,85.0,82.0,109.0,247.0,235.294,229.492,217.261,211.0,238.881,195.828,199.875,200.0,207.0,216.568,237.0,1017.474,1030.499,1037.38,1000.183,1055.966,1210.888,732.981,1024.579,190.099,189.166,182.247,171.566,167.6,254.504,198.63,199.646,199.61,206.048,198.454,257.778,83.198,82.997,81.32,84.215,82.933,113.365,82.141,83.396,83.13,85.769,83.406,123.479,273.255,270.18,265.068,250.303,233.494,285.607,210.48,214.23,218.284,226.572,234.009,270.333,1427,1427,1427,1427,1427,1464,1208,1286,1286,1286,1286,1286,1306,1306,1306,1176,1296,1523,1523,1627,1323,1287,1581,1581,1581,1581,1660,1832,1832,1832,1588,1588,1900,1900,1900,1660,1769,1864,1864,1864,1698,1698,34,20,33,28,35,122,139,136,128,110,57,76,63,54,48,0.01179,0.01121,0.01112,0.01112,0.01026,0.01019,0.00994,0.00959,0.01094,0.00975,0.01034,0.01155,0.00993,0.0104,0.0108,0.01039
15,39,7,530.0,787.0,1000.0,1001.0,900.0,990.0,601.0,941.0,136.0,135.0,133.0,150.0,189.0,136.0,135.0,135.0,197.0,150.0,137.0,138.0,53.0,54.0,54.0,53.0,73.0,137.0,56.0,57.0,66.0,54.0,54.0,363.0,303.0,300.0,301.0,320.0,320.0,224.0,485.0,359.0,303.0,327.0,332.0,211.0,719.314,845.616,920.824,956.722,940.08,1229.302,855.611,1184.723,147.65,167.327,182.033,207.905,212.181,177.307,180.877,190.244,208.294,182.254,176.331,136.639,53.658,51.0,74.64,82.864,85.0,170.161,60.0,73.55,77.955,73.031,67.916,231.659,297.563,295.743,298.41,304.549,308.743,282.0,337.0,307.762,299.0,305.744,317.524,239.0,748.122,797.458,821.197,907.674,969.979,1224.248,845.736,1195.324,154.878,155.0,169.493,186.278,215.699,190.785,189.387,196.312,204.129,214.0,196.0,166.0,57.105,58.474,68.814,76.566,84.613,184.024,63.417,66.262,71.705,72.052,74.866,219.67,285.799,278.399,279.277,294.767,297.422,276.683,321.365,300.839,295.075,290.369,306.043,286.0,737.719,751.47,759.009,772.541,810.444,1167.632,812.025,1175.387,167.813,169.834,173.583,178.112,183.709,167.719,161.0,175.013,181.007,191.359,191.156,162.646,61.893,62.164,64.353,67.457,72.2,177.232,63.093,65.047,67.452,70.634,75.657,190.088,264.131,259.619,256.176,260.279,263.033,267.77,288.554,282.115,280.886,270.889,259.0,267.867,679.157,687.674,700.121,704.532,747.907,1076.385,759.565,1059.156,155.012,155.068,159.814,162.06,169.437,153.966,151.428,155.868,162.035,168.358,171.491,153.126,58.746,58.653,60.701,62.841,66.562,159.795,58.553,60.208,62.366,62.355,68.186,166.398,233.807,229.091,228.985,234.663,235.47,245.285,251.252,244.167,249.789,244.74,235.851,253.732,1477,1477,1678,1678,1678,1522,1405,1624,1624,1624,1624,1661,1727,1727,1727,1871,1871,1788,1788,1788,1788,1855,1926,1939,1848,2127,2127,1820,1820,1889,1979,2162,2147,2177,2194,2422,2422,2123,2427,2427,2427,2427,42,30,35,34,24,69,48,70,59,48,72,59,59,64,39,0.01111,0.01018,0.01209,0.01095,0.01159,0.01052,0.01216,0.01198,0.01186,0.01057,0.01168,0.01113,0.01137,0.0105,0.01223,0.01123
184,33,10,563.002,557.552,551.669,555.734,566.966,853.858,650.401,860.351,202.067,220.342,240.958,248.131,268.222,139.758,228.692,244.447,232.933,231.38,236.565,141.156,112.893,112.877,114.628,115.895,121.183,123.96,111.975,104.125,101.051,98.405,103.249,119.997,164.681,177.124,172.181,166.566,174.102,338.406,164.681,175.604,169.391,166.288,171.412,326.089,509.62,511.179,508.115,500.0,522.692,776.031,587.108,773.959,171.259,180.0,205.891,213.0,245.721,127.025,210.267,222.523,216.253,208.0,205.632,127.096,100.992,100.492,99.951,102.415,102.648,109.294,99.38,95.312,93.137,91.679,98.147,105.173,152.32,161.442,155.934,150.202,159.732,299.332,151.851,159.577,153.931,150.477,163.0,298.241,503.743,501.865,500.0,507.316,500.0,759.511,604.0,765.549,172.26,177.737,185.453,199.0,233.898,125.0,203.644,214.956,214.853,221.0,211.187,125.0,92.544,96.024,95.847,99.0,97.0,102.242,95.793,90.572,89.368,89.0,95.0,100.837,157.881,157.713,153.0,150.524,154.812,301.0,158.022,157.178,151.078,150.395,154.217,286.0,500.0,504.193,503.116,511.265,502.42,761.101,593.736,757.228,162.821,164.0,167.666,178.557,200.438,126.246,177.887,179.0,184.687,193.743,207.836,126.68,76.885,78.332,82.554,85.127,88.924,100.311,79.58,78.871,79.339,80.928,87.627,100.554,152.188,154.023,151.3,150.837,154.058,289.371,151.903,153.208,150.0,150.275,153.527,259.053,500.0,500.0,507.018,510.743,500.0,770.964,566.83,766.893,152.96,152.817,154.182,162.581,186.01,126.826,161.574,162.262,164.446,171.765,187.589,126.155,72.303,71.98,71.056,79.747,79.893,105.919,71.624,69.532,69.912,74.22,79.688,101.233,150.0,156.007,153.206,150.304,153.011,268.098,150.0,153.425,153.682,150.471,152.662,241.619,919,919,958,958,979,1001,962,1076,1076,1165,1165,1201,964,964,1026,1077,1042,1060,1060,1199,1199,1205,1132,1149,1115,1115,1115,1262,1291,1291,1291,1286,1131,1131,1131,1131,1131,1284,1307,1307,1307,1310,47,60,61,52,64,44,57,54,42,40,27,36,28,27,29,0.00786,0.00809,0.00748,0.00799,0.00769,0.00738,0.00732,0.00793,0.00752,0.00794,0.00757,0.00837,0.00721,0.00763,0.00703,0.00738
100,36,6,586.595,578.907,572.916,573.454,551.096,1143.464,707.771,1672.479,180.679,181.527,168.587,135.0,144.921,136.24,233.522,231.415,231.118,230.071,268.017,131.212,55.057,57.103,58.705,57.215,56.441,182.045,54.399,55.627,56.517,54.953,54.283,175.57,171.375,175.994,171.137,168.404,163.934,224.051,163.339,167.404,161.12,158.814,164.459,224.882,532.191,534.26,528.695,526.186,509.791,970.0,652.648,1548.992,189.96,192.983,188.0,143.0,141.101,127.333,210.407,208.156,208.0,210.0,246.2,130.08,50.097,51.204,53.175,51.128,51.755,153.0,50.046,50.0,52.138,50.0,50.032,160.0,157.255,161.843,159.253,156.0,157.251,207.436,153.601,156.594,152.687,150.0,149.277,207.735,508.0,516.967,515.859,512.629,500.627,1065.697,667.0,1608.394,193.0,201.0,192.102,165.904,175.328,132.0,197.0,191.0,194.929,211.128,236.629,148.0,50.934,51.104,51.032,50.0,50.0,155.527,50.998,51.125,51.032,50.0,50.0,167.979,165.194,165.681,162.744,181.718,190.271,203.299,162.297,165.568,163.345,180.075,177.023,203.569,514.371,516.013,513.529,508.864,517.531,1065.91,716.163,1506.562,198.954,198.111,195.437,187.803,198.74,162.496,190.689,190.826,191.729,196.109,216.638,155.111,53.289,54.066,53.95,54.056,56.269,156.71,50.303,50.795,51.314,50.212,50.13,162.991,206.512,208.0,200.909,209.704,206.393,219.09,177.0,187.0,190.701,199.394,211.43,201.245,534.712,533.378,537.186,533.429,541.485,1030.965,666.453,1366.904,198.286,197.259,195.522,192.794,193.503,165.472,179.855,179.375,179.568,181.451,204.169,151.483,58.0,60.659,60.567,60.372,63.223,156.447,50.0,50.829,50.958,50.111,50.092,154.902,206.073,207.125,206.519,208.0,217.0,239.714,189.696,194.542,196.648,206.0,201.0,200.626,1030,1030,1030,1030,1030,990,1031,1061,1061,1119,1119,1119,1146,1146,1146,1201,1218,1173,1173,1173,1262,1262,1922,1922,1922,1922,1922,1835,1835,1835,1848,1931,1858,1858,1935,1935,2084,2222,2222,2016,2016,1932,44,49,39,36,21,37,41,35,31,35,45,34,56,52,41,0.00702,0.00687,0.00738,0.00717,0.009,0.00878,0.00916,0.00889,0.0072,0.00722,0.00791,0.00791,0.01085,0.0097,0.01018,0.01057
202,29,10,561.0,540.0,561.0,574.0,560.0,960.0,561.0,791.0,149.0,144.0,148.0,143.0,149.0,143.0,149.0,139.0,138.0,135.0,147.0,137.0,53.0,54.0,56.0,55.0,57.0,119.0,57.0,55.0,55.0,54.0,56.0,112.0,178.0,172.0,173.0,175.0,175.0,215.0,178.0,165.0,162.0,160.0,175.0,228.0,556.357,520.915,535.054,538.627,523.212,1175.078,513.0,807.562,142.015,136.596,134.0,131.853,150.072,137.727,136.425,130.0,130.0,133.182,143.384,132.428,51.0,52.966,54.516,52.122,52.0,119.0,51.945,52.414,51.939,54.0,53.627,105.0,170.834,159.176,157.03,160.0,170.054,217.661,168.267,161.174,156.071,152.0,163.133,216.437,529.0,515.0,515.0,521.808,517.29,1314.0,540.0,816.039,144.0,135.964,136.082,139.229,141.296,131.499,143.0,132.33,134.783,138.204,146.168,131.459,52.0,52.177,52.782,51.939,52.742,115.402,52.0,51.363,51.306,52.935,52.671,108.738,172.0,156.469,154.728,159.556,165.312,215.12,167.0,156.311,153.628,160.943,166.282,219.0,559.49,537.945,524.313,521.581,512.729,1262.943,624.255,871.749,157.667,150.72,148.599,139.423,136.429,140.622,148.153,136.696,129.951,143.0,134.0,140.6,57.039,54.589,53.28,51.974,51.824,118.996,55.809,53.934,53.316,52.323,52.078,115.87,176.904,158.703,154.814,157.0,160.395,228.484,177.012,165.176,156.418,152.331,160.669,240.176,857.727,822.219,665.386,643.147,595.998,1730.969,937.123,1337.571,233.711,218.64,178.669,168.051,156.69,222.021,238.393,208.333,165.912,169.209,155.184,217.222,85.908,82.499,67.296,64.259,59.696,181.733,84.78,83.137,66.346,63.8,59.586,179.093,278.991,204.855,199.258,197.408,182.66,344.015,276.373,255.941,199.206,191.138,183.654,375.628,888,888,888,888,744,946,883,1000,1000,1000,1000,998,1033,1033,1033,1017,1017,1102,1102,1102,1071,1069,1144,1144,1144,1144,1144,1266,1266,1266,1266,1223,1257,1257,1257,1257,1257,1368,1328,1328,1329,1288,21,30,19,33,32,124,108,132,100,94,69,75,66,66,76,0.00709,0.00716,0.00712,0.00762,0.01266,0.0136,0.01238,0.01241,0.00724,0.00802,0.00791,0.00796,0.00733,0.00759,0.00786,0.00793
26,49,9,822.0,823.0,740.0,812.0,987.0,1096.0,562.0,1561.0,151.0,150.0,131.0,135.0,135.0,160.0,137.0,139.0,135.0,147.0,138.0,136.0,60.0,60.0,58.0,60.0,55.0,127.0,56.0,57.0,53.0,57.0,60.0,109.0,177.0,170.0,166.0,175.0,159.0,230.0,177.0,157.0,164.0,178.0,163.0,245.0,904.948,911.185,852.181,856.166,940.584,1332.156,664.76,1517.77,180.124,181.051,178.194,176.099,163.728,172.475,165.891,181.897,189.132,188.665,207.0,198.822,68.704,70.841,73.294,69.25,83.248,167.127,83.0,69.997,68.877,68.091,73.607,147.296,233.332,226.308,206.926,200.654,188.272,307.909,177.0,152.0,177.0,204.457,221.104,276.186,909.953,914.845,904.209,903.147,937.633,1389.576,709.0,1520.368,202.633,207.095,210.0,195.975,175.145,188.0,169.0,177.815,194.088,218.078,202.311,197.128,70.399,75.124,76.0,72.232,90.468,169.847,79.506,77.003,76.819,75.481,78.339,161.969,261.0,244.183,244.0,235.895,193.93,310.0,173.904,162.972,173.027,202.003,229.946,290.173,854.389,873.046,867.807,841.005,900.965,1304.283,670.14,1425.359,182.0,181.0,183.246,185.56,176.0,187.096,183.872,184.168,183.0,173.0,193.477,179.0,67.198,67.0,70.0,69.004,76.418,154.536,71.677,71.169,71.862,72.866,77.0,148.93,231.76,227.984,223.821,226.0,203.0,296.61,192.0,182.0,182.0,188.069,216.007,285.0,784.598,795.301,787.892,788.749,814.314,1203.258,697.893,1272.196,184.992,184.378,186.342,190.785,162.759,187.849,191.677,188.921,188.444,193.102,175.816,179.708,72.565,71.678,72.882,72.908,69.414,153.329,73.494,73.869,74.357,75.187,69.095,148.346,228.769,231.392,232.202,235.342,191.923,296.879,201.995,195.835,196.776,205.918,200.853,290.648,1434,1475,1476,1530,1556,1625,1260,1347,1368,1404,1427,1464,1362,1362,1393,1351,1370,1582,1588,1584,1591,1534,1998,1998,1998,2005,2039,2125,2125,2125,2136,2180,2188,2127,2127,2130,2134,2236,2236,2236,2209,2189,57,73,54,77,63,96,111,115,113,104,99,85,110,106,118,0.01162,0.01166,0.01178,0.01171,0.01182,0.01244,0.01218,0.01241,0.01047,0.01048,0.01059,0.01125,0.01279,0.01295,0.01346,0.01223
67,33,9,596.551,612.544,609.348,584.107,647.433,846.223,1228.103,1323.632,193.089,166.727,189.024,207.019,258.51,137.655,170.327,144.047,152.231,158.096,210.53,142.803,164.382,158.703,186.84,118.933,123.794,118.337,107.883,105.764,110.889,105.833,108.238,119.967,178.686,170.183,171.795,169.526,171.248,225.518,176.572,173.974,173.626,170.571,170.63,233.208,522.596,546.241,539.181,513.587,525.933,790.443,1084.905,1419.128,203.002,203.0,195.445,198.0,249.525,133.04,202.21,200.0,181.245,171.0,217.436,139.0,124.0,123.212,130.103,108.371,113.475,127.062,102.696,101.233,104.579,101.259,102.47,113.983,162.196,156.0,166.479,157.647,165.335,237.762,166.757,157.0,168.851,162.399,165.48,241.0,502.576,503.801,512.141,505.046,508.031,774.294,1036.036,1452.694,209.525,206.922,207.505,213.219,230.559,129.0,224.0,213.972,211.26,211.444,222.509,144.0,119.974,120.287,123.0,106.946,103.0,145.02,99.642,99.0,101.87,100.513,98.0,122.279,161.0,163.885,161.436,158.534,164.087,255.968,179.873,175.459,174.0,152.873,163.272,248.522,540.447,546.345,547.805,545.426,541.202,764.456,944.695,1317.0,209.0,210.45,213.424,224.956,223.036,148.096,217.557,223.883,226.17,230.139,216.794,155.605,109.987,109.945,110.298,104.422,101.006,149.535,92.0,94.1,94.0,96.97,93.503,140.226,187.964,184.62,185.051,192.93,190.639,273.992,183.766,179.578,174.302,182.144,182.098,278.68,590.996,588.49,586.484,603.131,602.246,789.775,905.505,1240.0,198.0,193.322,195.0,205.308,207.0,151.0,196.352,197.014,199.0,207.852,204.0,167.913,102.561,102.188,102.0,99.104,95.0,143.689,84.0,85.0,86.732,88.04,86.0,137.395,188.694,188.286,190.0,193.915,201.086,266.263,196.459,193.379,188.169,195.558,194.554,290.529,1314,1326,1387,1387,1387,1694,1617,1772,1837,1837,1837,1972,1727,1744,1744,1802,1794,1922,1953,1953,1946,1973,1963,2027,2058,2058,2013,2134,2169,2140,2140,2137,2131,2148,2148,2183,2159,2289,2354,2395,2395,2296,47,53,53,67,52,78,73,72,64,70,100,102,84,91,109,0.01062,0.0105,0.01068,0.01,0.01039,0.01068,0.01067,0.01122,0.0126,0.0133,0.01236,0.01308,0.01141,0.01191,0.01183,0.0124
