,0,1,2,3,4,5
0,0.0649,0.18894,0.10698,0.10035,0.06053,0.10033
1,0.0478,0.04939,0.06226,0.10189,0.04458,0.10312
2,0.10446,0.11749,0.07637,0.08893,0.1299,0.10033
3,0.1092,0.1517,0.12466,0.10314,0.10665,0.10312
4,0.09086,0.07049,0.10995,0.10314,0.10376,0.10312
5,0.09086,0.07049,0.10995,0.10314,0.10376,0.10312
6,0.05316,0.06698,0.06226,0.10314,0.04958,0.10312
7,0.05563,0.11509,0.10698,0.10035,0.05188,0.10033
8,0.0478,0.04939,0.06226,0.10189,0.04458,0.10312
9,0.0649,0.18894,0.10698,0.10035,0.06053,0.10033
10,,,,,,
11,0.05213,0.05099,0.0474,0.04446,0.04862,0.04445
12,0.0616,0.0478,0.05097,0.05924,0.05822,0.05922
13,0.05831,0.05099,0.0474,0.04446,0.05438,0.04445
14,0.06572,0.05099,0.0474,0.04446,0.06207,0.04445
15,0.07994,0.07049,0.09539,0.08182,0.0759,0.0818
16,0.05213,0.05099,0.0474,0.04446,0.04862,0.04445
17,0.08447,0.07193,0.1159,0.10314,0.07878,0.10312
18,0.05213,0.06698,0.06226,0.10314,0.04862,0.10312
19,0.05975,0.0478,0.04309,0.05882,0.05803,0.05783
20,0.05831,0.05099,0.0474,0.04446,0.05438,0.04445
21,,,,,,
22,0.07994,0.07049,0.09539,0.08182,0.0759,0.0818
23,0.05213,0.05099,0.0474,0.04446,0.04862,0.04445
24,0.0649,0.05259,0.08053,0.0538,0.06476,0.04585
25,0.05522,0.0478,0.04591,0.04307,0.0515,0.04306
26,0.05728,0.05259,0.05201,0.0538,0.05342,0.04585
27,0.05831,0.05099,0.0474,0.04446,0.05438,0.04445
28,0.05934,0.05259,0.07979,0.0538,0.05534,0.04585
29,0.05563,0.04939,0.05186,0.04864,0.05188,0.04863
30,0.09086,0.07049,0.10995,0.10314,0.10376,0.10312
31,0.05522,0.06714,0.06835,0.06035,0.06111,0.06034
32,,,,,,
33,0.05563,0.04939,0.05186,0.04864,0.05188,0.04863
34,0.05027,0.05946,0.06612,0.0623,0.04689,0.0634
35,0.06037,0.04939,0.05483,0.0506,0.0563,0.05142
36,0.04945,0.0446,0.04591,0.04307,0.05034,0.04306
37,0.05975,0.05707,0.05572,0.0506,0.05726,0.05058
38,0.05563,0.04939,0.05186,0.04864,0.05188,0.04863
39,0.05522,0.04939,0.04591,0.04307,0.0515,0.04306
40,0.05007,0.0462,0.06047,0.06802,0.04669,0.068
41,0.06037,0.0478,0.04591,0.04307,0.06149,0.04306
42,0.05007,0.05227,0.0737,0.0715,0.04669,0.07148
43,,,,,,
44,0.05831,0.05099,0.0474,0.04446,0.05438,0.04445
45,0.05748,0.0446,0.04472,0.05101,0.05438,0.051
46,0.05728,0.0446,0.04146,0.04167,0.05438,0.03874
47,0.05501,0.05099,0.0474,0.04446,0.05131,0.04445
48,0.05707,0.0446,0.04309,0.04167,0.05323,0.04166
49,0.05604,0.0446,0.0474,0.04446,0.05227,0.04445
50,0.05728,0.0446,0.04146,0.04167,0.05342,0.03874
51,0.05501,0.05099,0.0474,0.04446,0.05131,0.04445
52,0.05501,0.05099,0.0474,0.04446,0.05131,0.04445
53,0.05831,0.05099,0.0474,0.04446,0.05438,0.04445
54,,,,,,
55,0.09478,0.09607,0.06835,0.10314,0.08839,0.10312
56,0.05522,0.0446,0.03982,0.04307,0.0515,0.04306
57,0.05831,0.04939,0.06196,0.04307,0.05438,0.04306
58,0.06655,0.07033,0.06835,0.06453,0.06418,0.06452
59,0.05728,0.05419,0.05201,0.05687,0.05342,0.04724
60,0.05563,0.0446,0.0474,0.04446,0.05188,0.04445
61,0.05604,0.0446,0.0474,0.04446,0.05227,0.04445
62,0.0649,0.1079,0.09376,0.08182,0.06053,0.0818
63,0.05522,0.06714,0.06835,0.06035,0.05246,0.06034
64,0.06428,0.05387,0.05735,0.06802,0.06649,0.068
65,,,,,,
66,0.05975,0.05707,0.05572,0.05129,0.05726,0.05128
67,0.05213,0.05099,0.0474,0.04446,0.04862,0.04445
68,0.0614,0.04939,0.04428,0.0506,0.06553,0.05142
69,0.0614,0.04939,0.04428,0.0506,0.06264,0.05142
70,0.05728,0.05259,0.05201,0.0538,0.05342,0.04585
71,0.05604,0.0446,0.0474,0.04446,0.05227,0.04445
72,0.05707,0.0446,0.04309,0.04167,0.05323,0.04166
73,0.05501,0.05099,0.0474,0.04446,0.05131,0.04445
74,0.05728,0.05259,0.05201,0.0538,0.05342,0.04585
75,0.05604,0.0446,0.0474,0.04446,0.05227,0.04445
76,,,,,,
77,0.05604,0.0446,0.0474,0.04446,0.05227,0.04445
78,0.05748,0.0446,0.0474,0.04446,0.05438,0.04445
79,0.0614,0.04939,0.04428,0.05143,0.06649,0.05142
80,0.05707,0.04939,0.05423,0.05143,0.05323,0.05142
81,0.05563,0.04939,0.05186,0.04864,0.05188,0.04863
82,0.05707,0.0446,0.04309,0.04167,0.05323,0.04166
83,0.06428,0.05387,0.05735,0.05896,0.06649,0.068
84,0.05522,0.06314,0.05869,0.0545,0.05246,0.05685
85,0.04801,0.047,0.04888,0.04586,0.05342,0.04585
86,0.05522,0.04939,0.05483,0.05143,0.05323,0.05142
87,,,,,,
88,0.05625,0.05579,0.05869,0.0545,0.05246,0.05518
89,0.05934,0.05259,0.04888,0.04586,0.05534,0.04585
90,0.05501,0.05099,0.0474,0.04446,0.05131,0.04445
91,0.06037,0.04939,0.05483,0.0506,0.0563,0.05142
92,0.05831,0.04939,0.04591,0.04307,0.05438,0.04306
93,0.05831,0.04939,0.04591,0.04307,0.05438,0.04306
94,0.05522,0.05099,0.0474,0.04446,0.0515,0.04445
95,0.05748,0.0446,0.04443,0.04167,0.05438,0.04166
96,0.05522,0.0446,0.04591,0.04307,0.0515,0.04306
97,0.05604,0.0446,0.0474,0.04446,0.05227,0.04445
98,,,,,,
99,0.0614,0.04939,0.04428,0.05143,0.06649,0.05142
100,0.05831,0.04939,0.04591,0.04307,0.05438,0.04306
101,0.041,0.03181,0.02957,0.06802,0.04669,0.068
102,0.05707,0.0446,0.0474,0.04195,0.05323,0.04013
103,0.0614,0.06346,0.06776,0.0729,0.06303,0.07288
104,0.04079,0.0446,0.02942,0.04307,0.05034,0.04306
105,0.05027,0.05946,0.06612,0.06439,0.04689,0.0634
106,0.05522,0.0446,0.03982,0.04307,0.0515,0.04306
107,0.05728,0.05419,0.05201,0.0538,0.05342,0.04724
108,0.05027,0.04939,0.06047,0.0545,0.04689,0.05448
109,,,,,,
110,0.05522,0.0478,0.03982,0.04307,0.0515,0.04306
111,0.05707,0.0446,0.0474,0.04446,0.05323,0.04013
112,0.04079,0.0446,0.02942,0.04307,0.05034,0.04306
113,0.05439,0.0478,0.04591,0.04307,0.05073,0.04306
114,0.05398,0.0446,0.04591,0.04307,0.05034,0.04306
115,0.05707,0.04939,0.05483,0.05143,0.05323,0.05142
116,0.05625,0.07033,0.06835,0.06453,0.06418,0.06452
117,0.05439,0.0478,0.04591,0.04307,0.05073,0.04306
118,0.05522,0.04939,0.05483,0.04307,0.0515,0.04306
119,0.05007,0.05946,0.0737,0.0715,0.04669,0.07148
120,,,,,,
121,0.05522,0.0446,0.03982,0.04307,0.0515,0.04306
122,0.05522,0.06346,0.0737,0.06523,0.0515,0.06521
123,0.041,0.03181,0.06642,0.06802,0.0515,0.068
124,0.041,0.03181,0.03626,0.0623,0.04689,0.06549
125,0.05975,0.05259,0.04888,0.04586,0.05726,0.04585
126,0.0614,0.04939,0.04428,0.05143,0.06649,0.05142
127,0.05748,0.0446,0.05869,0.05143,0.06014,0.05588
128,0.05934,0.05259,0.04888,0.04586,0.05534,0.04585
129,0.04945,0.0446,0.04591,0.04307,0.05034,0.04306
130,0.05728,0.05419,0.05201,0.05659,0.05342,0.04724
131,,,,,,
132,0.05975,0.05707,0.05587,0.0506,0.05726,0.05058
133,0.0614,0.04939,0.05869,0.0545,0.05726,0.05518
134,0.0614,0.04939,0.05483,0.05143,0.06649,0.05142
135,0.05748,0.0446,0.06122,0.05519,0.06495,0.05518
136,0.04801,0.0446,0.04472,0.05241,0.05438,0.05239
137,0.05748,0.0446,0.06122,0.05519,0.06495,0.05518
138,0.05501,0.05099,0.0474,0.04446,0.05131,0.04445
139,0.05831,0.04939,0.04591,0.04307,0.05438,0.04306
140,0.041,0.03181,0.06642,0.06802,0.0515,0.068
141,0.05522,0.06314,0.05869,0.0545,0.05246,0.05685
142,,,,,,
143,0.04079,0.0446,0.02942,0.04307,0.05034,0.04306
144,0.041,0.03181,0.06642,0.06802,0.05726,0.068
145,0.05728,0.0478,0.0474,0.04446,0.05438,0.04445
146,0.05398,0.0446,0.04591,0.04307,0.05034,0.04306
147,0.05707,0.0446,0.0474,0.04195,0.05323,0.04013
148,0.05975,0.05707,0.05572,0.0506,0.05726,0.05058
149,0.05027,0.04939,0.03626,0.0545,0.04689,0.05448
150,0.041,0.03181,0.06642,0.06802,0.0515,0.068
151,0.04079,0.0446,0.02942,0.04307,0.05034,0.04306
152,0.05831,0.04939,0.04591,0.04307,0.05438,0.04306
153,,,,,,
154,0.05831,0.04939,0.04591,0.04307,0.05438,0.04306
155,0.05748,0.0446,0.05869,0.0545,0.06264,0.05518
156,0.05748,0.0446,0.04472,0.05101,0.05438,0.051
157,0.06428,0.05387,0.0633,0.05896,0.06649,0.068
158,0.05748,0.0446,0.04888,0.04586,0.05534,0.04585
159,0.05398,0.0446,0.04591,0.04307,0.05034,0.04306
160,0.0614,0.06346,0.06776,0.0715,0.0661,0.07148
161,0.05728,0.0446,0.04443,0.04167,0.06207,0.03874
162,0.05748,0.0446,0.04443,0.04167,0.05438,0.04166
163,0.05748,0.0446,0.04443,0.04167,0.05438,0.04166
164,,,,,,
