,0,1,2,3,4,5
0,0.0649,0.05259,0.07637,0.0538,0.06476,0.04585
1,0.1092,0.13284,0.1159,0.10314,0.10184,0.10312
2,0.10446,0.11749,0.07637,0.08893,0.1299,0.10033
3,0.0478,0.04939,0.06226,0.10189,0.04458,0.10312
4,0.0649,0.11749,0.07637,0.08893,0.1299,0.10033
5,0.09478,0.09607,0.06835,0.10314,0.08839,0.10312
6,0.06882,0.07033,0.06835,0.06453,0.06418,0.06452
7,0.05563,0.11509,0.10698,0.10035,0.05188,0.10033
8,0.0478,0.04939,0.06226,0.10189,0.04458,0.10312
9,0.0649,0.11749,0.07637,0.08893,0.12529,0.10033
10,,,,,,
11,0.0649,0.1079,0.09376,0.08182,0.06053,0.0818
12,0.05522,0.0478,0.04591,0.04307,0.0515,0.04306
13,0.06717,0.1079,0.09302,0.07596,0.06264,0.07594
14,0.0649,0.1079,0.09376,0.08182,0.06053,0.0818
15,0.0649,0.18894,0.10698,0.10035,0.06053,0.10033
16,0.05501,0.05099,0.0474,0.04446,0.05131,0.04445
17,0.0649,0.18894,0.10698,0.10035,0.06053,0.10033
18,0.07994,0.07049,0.09539,0.08182,0.0759,0.0818
19,0.1092,0.1517,0.12466,0.10314,0.10665,0.10312
20,0.0649,0.18894,0.10698,0.10035,0.06053,0.10033
21,,,,,,
22,0.05831,0.05099,0.0474,0.04446,0.05438,0.04445
23,0.05831,0.05099,0.0474,0.04446,0.05438,0.04445
24,0.05831,0.05099,0.0474,0.04446,0.05438,0.04445
25,0.05213,0.05099,0.0474,0.04446,0.04862,0.04445
26,0.05831,0.05099,0.0474,0.04446,0.05438,0.04445
27,0.05522,0.06714,0.06835,0.06035,0.05246,0.06034
28,0.05522,0.06714,0.06835,0.06035,0.06111,0.06034
29,0.05316,0.06698,0.06226,0.10314,0.04958,0.10312
30,0.06655,0.07033,0.06835,0.06453,0.06418,0.06452
31,0.05213,0.05099,0.0474,0.04446,0.04862,0.04445
32,,,,,,
33,0.05563,0.04939,0.05186,0.04864,0.05188,0.04863
34,0.0649,0.05259,0.07637,0.0538,0.06476,0.04585
35,0.05522,0.0478,0.04591,0.04307,0.0515,0.04306
36,0.05831,0.04939,0.04591,0.05101,0.05438,0.04306
37,0.05213,0.05099,0.0474,0.04446,0.04862,0.04445
38,0.0614,0.04939,0.04428,0.0506,0.06264,0.05142
39,0.05934,0.05259,0.07979,0.0538,0.05534,0.04585
40,0.05213,0.06698,0.06226,0.10314,0.04862,0.10312
