,0,1
0,0.0,0.0
1,0.0,0.12127
2,0.0,0.12127
3,0.0,0.0
4,0.0,0.0
5,,
6,0.0,0.0
7,0.0,0.12127
8,0.0,0.0
9,0.0,0.12127
10,0.0,0.0
11,,
12,0.0,0.0
13,0.0,0.0
14,0.0,0.12127
15,0.0,0.0
16,0.0,0.12127
17,,
18,0.19612,0.0
19,0.0,0.0
20,0.0,-0.12127
21,0.19612,0.0
22,0.19612,0.0
23,,
24,0.0,0.12127
25,0.0,0.12127
26,0.0,0.0
27,0.0,0.0
28,0.19612,0.0
29,,
30,0.0,0.0
31,0.0,0.12127
32,0.0,0.0
33,0.0,0.12127
34,0.0,0.12127
35,,
36,0.0,0.12127
37,0.0,0.0
38,0.0,0.12127
39,0.0,0.12127
40,0.0,-0.12127
41,,
42,0.0,0.12127
43,0.0,0.0
44,0.0,0.12127
45,0.19612,0.0
46,0.19612,0.0
47,,
48,0.0,-0.12127
49,0.0,-0.12127
50,0.0,0.0
51,0.0,0.12127
52,0.0,0.0
53,,
54,0.0,0.0
55,0.0,0.12127
56,0.0,0.0
57,0.0,0.12127
58,0.0,0.0
59,,
60,0.19612,0.0
61,0.19612,0.0
62,0.0,0.12127
63,0.0,-0.12127
64,0.0,0.12127
65,,
66,0.0,-0.12127
67,0.0,-0.12127
68,0.19612,0.0
69,-0.19612,0.0
70,0.0,0.0
71,,
72,0.0,0.0
73,0.0,-0.12127
74,0.19612,0.0
75,0.0,0.0
76,0.0,-0.12127
77,,
78,0.0,-0.12127
79,0.0,0.12127
80,0.0,0.0
81,0.0,0.12127
82,0.0,-0.12127
83,,
84,0.0,0.0
85,0.0,0.12127
86,0.0,0.0
87,0.0,0.0
88,0.0,0.12127
89,,
