,0,1
0,0.0,-0.12127
1,0.0,0.0
2,0.0,-0.12127
3,0.0,-0.12127
4,0.0,0.0
5,,
6,0.0,0.12127
7,0.0,0.0
8,0.0,0.0
9,0.0,-0.12127
10,0.0,-0.12127
11,,
12,0.0,0.12127
13,0.0,0.0
14,0.0,0.12127
15,-0.19612,0.0
16,-0.19612,0.0
17,,
18,0.19612,0.0
19,0.0,0.0
20,0.0,0.0
21,-0.19612,0.0
22,0.0,0.12127
23,,
24,0.0,0.0
25,0.0,-0.12127
26,0.19612,0.0
27,0.0,-0.12127
28,0.19612,0.0
29,,
30,0.0,0.12127
31,0.0,0.12127
32,0.0,0.12127
33,0.0,0.0
34,0.0,0.0
35,,
36,0.19612,0.0
37,0.0,-0.12127
38,0.19612,0.0
39,0.19612,0.0
40,0.0,-0.12127
41,,
42,0.0,0.12127
43,0.0,0.12127
44,0.0,0.12127
45,0.0,0.12127
46,0.0,0.0
47,,
48,-0.19612,0.0
49,0.0,0.12127
50,0.0,0.12127
51,0.0,0.12127
52,0.0,0.0
53,,
54,0.19612,0.0
55,0.0,0.0
56,0.19612,0.0
57,0.0,0.0
58,0.0,-0.12127
59,,
60,0.0,0.12127
61,0.0,0.0
62,0.0,0.12127
63,0.19612,0.0
64,0.0,0.0
65,,
66,0.19612,0.0
67,0.0,0.0
68,0.19612,0.0
69,0.19612,0.0
70,0.19612,0.0
71,,
72,0.0,0.12127
73,0.0,0.0
74,0.0,0.0
75,0.0,0.12127
76,0.0,0.12127
77,,
78,0.0,0.0
79,0.0,-0.12127
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,,
84,0.0,0.0
85,0.0,-0.12127
86,0.0,0.0
87,0.0,0.0
88,0.0,-0.12127
89,,
