,0,1,2,3,4,5
0,0.01293,-0.02365,-0.07265,0.06126,-0.07353,-0.03939
1,0.04175,-0.02972,-0.04901,0.06115,-0.03928,0.03976
2,0.04657,-0.03687,0.03107,0.05969,-0.03344,0.02547
3,0.01372,0.00505,0.04232,-0.03475,-0.03481,-0.03134
4,-0.00975,-0.06276,-0.03376,0.00833,-0.0713,-0.02988
5,0.01806,0.04082,-0.0435,-0.01507,0.01309,0.03019
6,-0.02509,-0.00018,0.03632,0.01926,-0.0386,-0.01635
7,-0.04932,0.05406,0.06682,-0.00267,-0.04458,-0.00663
8,-0.06273,0.06969,0.0048,0.0735,0.05219,-0.01564
9,0.0476,-0.02853,-0.0141,-0.05653,-0.01039,0.01815
10,0.01483,-0.07044,0.03276,0.05109,-0.02399,0.0495
11,0.03279,-0.02015,0.03517,-0.04318,0.00612,0.07156
12,0.06123,0.06029,0.00791,0.06604,0.05,-0.01666
13,-0.04631,-0.03246,0.04575,-0.05141,0.01664,0.00348
14,-0.04291,0.03453,0.01599,0.05395,-0.06166,-0.06813
15,0.00317,-0.07322,-0.06399,0.0333,-0.00883,0.01912
16,-0.02483,-0.01152,0.00525,0.00973,0.00939,-0.02216
17,0.06782,0.05602,-0.03082,-0.03025,0.02921,-0.05733
18,,,,,,
19,0.00691,-0.04859,-0.05774,0.03938,-0.02062,0.0067
20,-0.02731,-0.06987,-0.02141,0.04955,0.04258,-0.09542
21,-0.00698,0.01443,0.00308,0.00901,0.01219,0.03598
22,-0.04747,0.06679,0.05218,0.03502,-0.04733,-0.01517
23,0.03376,-0.00131,-0.0702,0.0488,-0.03168,-0.02588
24,0.05257,-0.02798,0.03096,-0.00153,-0.0182,-0.06369
25,0.06011,-0.01114,-0.06011,-0.0314,-0.03464,0.056
26,-0.01041,0.00747,-0.03688,-0.03215,-0.06199,0.00644
27,0.03098,0.0206,-0.00577,0.06962,0.07368,0.00424
28,-0.07863,-0.03943,0.07576,-0.0357,-0.03924,-0.06
29,0.03956,-0.02738,0.04854,-0.0352,0.07723,0.08189
30,0.05413,0.0442,0.01073,-0.063,-0.01146,-0.0541
31,-0.01417,0.0674,0.03081,0.03622,-0.05935,-0.0492
32,0.0367,0.05187,-0.0036,0.01201,0.01973,0.02512
33,-0.04444,0.03733,0.00085,0.01858,0.0294,0.08675
34,-0.00504,-0.05092,-0.04632,-0.00459,0.07247,-0.00022
35,0.05318,-0.01974,-0.00943,-0.06401,-0.00965,0.03061
36,0.0702,0.07074,-0.04919,-0.01118,-0.03539,0.00876
37,,,,,,
38,0.02434,0.00516,-0.02694,0.04099,0.02821,0.03972
39,-0.07375,-0.01931,0.0121,-0.01548,-0.01861,0.02312
40,0.06348,0.02336,0.01446,-0.00246,-0.05701,-0.00776
