,0,1,2,3,4,5
0,-0.02588,-0.0583,0.01451,0.01087,0.02646,-0.0217
1,-0.03436,-0.03579,0.06602,0.00356,0.07518,0.04249
2,0.06125,-0.00154,0.05945,0.00592,-0.05876,0.01461
3,-0.04794,-0.00709,-0.02332,-0.02175,0.07609,0.05844
4,0.00947,0.06443,-0.00117,0.06346,0.06468,-0.09232
5,0.05257,-0.02798,0.03096,-0.00153,-0.0182,-0.06369
6,-0.0215,-0.00141,0.04331,0.01414,-0.0335,0.00837
7,-0.04721,0.0682,0.07018,-0.0408,0.00367,0.01246
8,-0.02509,-0.00018,0.03632,0.01926,-0.0386,-0.01635
9,0.05083,0.00706,-0.03735,-0.03517,0.0384,-0.0325
10,-0.05853,0.07291,-0.00854,0.05889,0.05016,-0.02501
11,0.00689,0.06333,0.02886,-0.05056,-0.00168,-0.03355
12,1e-05,-0.07024,-0.02587,0.03802,0.04992,-0.02039
13,0.05413,0.0442,0.01073,-0.063,-0.01146,-0.0541
14,0.05264,-0.03622,0.05584,0.06951,0.07014,-0.04016
15,-0.01811,0.01105,0.04484,0.01012,-0.07419,-0.0031
16,0.01709,0.00495,-0.02886,-0.00854,0.07863,-0.06905
17,0.05366,0.05071,0.07495,0.01806,0.04817,-0.02314
18,,,,,,
19,-0.02629,-0.04712,-0.04041,-0.07376,-0.0232,0.04958
20,-0.053,0.03314,-0.06595,-0.07872,-0.04181,-0.06119
21,0.00875,-0.07074,0.04893,-0.06176,-0.03638,-0.06668
22,0.01313,0.03345,0.07146,0.02677,0.03863,-0.0061
23,-0.074,-0.04425,-0.07526,-0.01728,0.03994,-0.04332
24,0.01806,0.04082,-0.0435,-0.01507,0.01309,0.03019
25,-0.02802,0.0154,0.01483,0.05154,-0.00611,0.00262
26,0.00795,-0.05262,-0.07463,-0.06629,-0.06458,-0.0356
27,0.04623,0.06019,0.02267,0.02397,0.05941,0.01722
28,-0.00435,-0.06599,-0.01803,0.00217,-0.03818,0.05855
29,-0.01417,0.0674,0.03081,0.03622,-0.05935,-0.0492
30,0.03147,0.00203,-0.00744,-0.00568,0.04763,-0.0192
31,-0.04112,0.00411,-0.01329,0.0768,0.03857,-0.01727
32,-0.06591,0.04307,0.04754,-0.00596,0.06873,-0.02119
33,0.00798,-0.02312,0.02777,0.07523,-0.00905,-0.04162
34,-0.02483,-0.01152,0.00525,0.00973,0.00939,-0.02216
