,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.128349,0.12733,0.12198,0.115318,0.148235,0.150824,0.147365,0.15048,0.13087,0.126694,0.175115,0.167012,0.127793,0.1354,0.168193,0.172612,0.146533,0.151882,0.150263,0.154774,0.146641,0.152001,0.154099,0.14756,0.155556,0.14111,0.171356,0.162889,0.161335,0.115072,0.114156,0.122573,0.14127,0.147439,0.153065,0.115816,0.113705,0.117539,0.118304,0.104592,0.108634,0.111462,0.108391,0.125504,0.12069,0.147892,0.14728,0.133432,0.127677,0.126143,0.139352,0.140952,0.143487,0.107368,0.106783,0.119534,0.134762,0.140205,0.13789,0.140147,0.123877,0.142579,0.141225,0.122561,0.129825,0.114341,0.128581,0.124021,0.129659,0.125973,0.137251,0.125934,0.120931,0.117052,0.191303,0.143239,0.196622,0.145136,0.151368,0.152228
1,0.146818,0.146019,0.139456,0.132469,0.168655,0.17176,0.167195,0.171026,0.149537,0.145076,0.197982,0.189101,0.146066,0.154263,0.190175,0.195275,0.166345,0.172352,0.170602,0.175634,0.166858,0.172987,0.175004,0.167586,0.175781,0.160746,0.19414,0.184927,0.183044,0.132603,0.131944,0.141252,0.161355,0.169012,0.174198,0.133396,0.131144,0.134663,0.135793,0.12112,0.125221,0.128165,0.125007,0.143578,0.138028,0.167354,0.166951,0.151714,0.145512,0.144366,0.158249,0.159991,0.163119,0.123261,0.122458,0.137358,0.154422,0.159854,0.157388,0.159246,0.14139,0.161942,0.160815,0.140674,0.14859,0.131743,0.14711,0.141817,0.148512,0.144059,0.156511,0.14426,0.137979,0.133691,0.214377,0.162486,0.220281,0.164328,0.170238,0.172124
2,0.15715,0.156498,0.149326,0.142141,0.180024,0.183421,0.178232,0.182397,0.159895,0.155359,0.210578,0.201304,0.156326,0.164767,0.202347,0.207852,0.177368,0.183774,0.181865,0.187245,0.178042,0.184628,0.186659,0.178722,0.187031,0.171637,0.206621,0.197014,0.194961,0.142568,0.142011,0.151478,0.172548,0.18099,0.185933,0.143328,0.140961,0.144317,0.145626,0.130499,0.134672,0.137619,0.134479,0.15375,0.147729,0.178289,0.178046,0.161929,0.155455,0.154525,0.168873,0.170634,0.174092,0.132202,0.131282,0.14745,0.165367,0.170817,0.168287,0.169941,0.151144,0.172717,0.171729,0.150757,0.159032,0.141473,0.157585,0.151742,0.159066,0.154112,0.167348,0.154539,0.147629,0.142958,0.226921,0.173141,0.233244,0.174908,0.180755,0.183016
3,0.191809,0.191703,0.182653,0.174841,0.217924,0.22235,0.215181,0.220255,0.194679,0.190004,0.25217,0.241857,0.191003,0.200078,0.242814,0.249624,0.214179,0.221819,0.219246,0.225961,0.215337,0.223556,0.225706,0.216064,0.22464,0.208074,0.248072,0.23727,0.234482,0.176204,0.175794,0.185778,0.209869,0.220673,0.22477,0.176795,0.174087,0.176944,0.17889,0.162308,0.166772,0.169681,0.166677,0.188308,0.180707,0.215208,0.215482,0.196388,0.189235,0.188863,0.204862,0.206626,0.211067,0.162839,0.161629,0.181691,0.202427,0.207801,0.205108,0.206137,0.184269,0.20899,0.208554,0.185042,0.194339,0.174447,0.193156,0.185485,0.194818,0.18813,0.204412,0.189785,0.180561,0.174552,0.268705,0.208839,0.276421,0.210536,0.21619,0.219526
4,0.468614,0.473627,0.45441,0.448765,0.515332,0.529166,0.51463,0.525981,0.480968,0.473704,0.572444,0.563398,0.47347,0.483329,0.565133,0.582132,0.508803,0.527754,0.514508,0.535978,0.520352,0.53988,0.542387,0.519188,0.522363,0.499633,0.583205,0.561525,0.553658,0.447769,0.446685,0.464613,0.49846,0.527792,0.524822,0.44227,0.438925,0.444911,0.45139,0.427324,0.429912,0.429374,0.426556,0.467244,0.455266,0.508297,0.511807,0.476706,0.469869,0.466296,0.492661,0.493333,0.5058,0.424289,0.423105,0.459137,0.507677,0.501842,0.500928,0.500588,0.46246,0.500026,0.503153,0.469353,0.478918,0.445582,0.486172,0.470517,0.477495,0.461529,0.515792,0.49134,0.44622,0.43767,0.588792,0.489257,0.597978,0.490678,0.494228,0.508018
5,0.13819,0.137281,0.131257,0.124437,0.159128,0.161986,0.157941,0.161473,0.140845,0.136494,0.187357,0.178807,0.137505,0.145464,0.179921,0.184693,0.157091,0.162795,0.161123,0.165884,0.157431,0.163185,0.165255,0.158245,0.166343,0.151583,0.183552,0.17467,0.172939,0.124327,0.123578,0.132564,0.151945,0.158928,0.164322,0.125126,0.122951,0.12663,0.127587,0.113336,0.117433,0.120341,0.117209,0.135128,0.12996,0.158259,0.157759,0.143193,0.137209,0.135868,0.149409,0.151099,0.153946,0.115831,0.115132,0.128988,0.145252,0.150687,0.148278,0.150336,0.133233,0.152904,0.151659,0.132222,0.139829,0.12361,0.13842,0.133508,0.139696,0.135609,0.147488,0.135686,0.129972,0.125925,0.203699,0.153508,0.209302,0.155401,0.161411,0.162908
6,0.64176,0.649082,0.621263,0.617367,0.686719,0.705294,0.689182,0.698623,0.649188,0.644377,0.748605,0.748254,0.650908,0.658716,0.742986,0.765895,0.677551,0.697399,0.681714,0.712536,0.693803,0.714282,0.721338,0.695085,0.692861,0.669666,0.764393,0.744107,0.729068,0.61822,0.616957,0.633898,0.672398,0.70682,0.702097,0.612895,0.606436,0.614242,0.622452,0.596139,0.598529,0.592811,0.594537,0.637428,0.622107,0.680395,0.688419,0.640172,0.634608,0.633522,0.664426,0.664513,0.677442,0.58516,0.583395,0.634126,0.690001,0.675486,0.677683,0.676487,0.628909,0.666524,0.672372,0.643975,0.649877,0.613387,0.657589,0.634959,0.654965,0.634897,0.696406,0.667103,0.612032,0.600398,0.753809,0.649731,0.763295,0.655565,0.655729,0.669547
7,0.355786,0.359169,0.341102,0.333577,0.394922,0.405196,0.390381,0.399979,0.361676,0.355785,0.443845,0.431931,0.356002,0.366162,0.433831,0.447065,0.38714,0.401255,0.393405,0.408506,0.393307,0.408632,0.411651,0.393251,0.399827,0.37904,0.445754,0.428441,0.422698,0.335816,0.336332,0.350268,0.382729,0.407737,0.40412,0.334456,0.331879,0.332423,0.337637,0.316691,0.320375,0.322261,0.319886,0.351397,0.339048,0.388085,0.389895,0.358684,0.350849,0.350968,0.372468,0.374262,0.383699,0.310051,0.308278,0.343205,0.378871,0.380655,0.376721,0.374856,0.342392,0.37932,0.380675,0.348633,0.360161,0.331879,0.362927,0.348674,0.361469,0.348312,0.383114,0.361172,0.336151,0.326568,0.4589,0.373182,0.469073,0.373652,0.378304,0.387791
8,0.634246,0.641533,0.614081,0.610099,0.679408,0.697639,0.681724,0.691236,0.641861,0.636919,0.741111,0.740504,0.643156,0.651133,0.735409,0.758065,0.670162,0.690129,0.674489,0.704967,0.686327,0.707075,0.713731,0.687651,0.685806,0.662167,0.756767,0.736747,0.721678,0.610742,0.60953,0.626506,0.664969,0.699205,0.694619,0.605505,0.599061,0.606943,0.614976,0.588597,0.591009,0.585576,0.587073,0.630098,0.614792,0.67272,0.680756,0.633028,0.62715,0.626525,0.656939,0.657155,0.669905,0.577949,0.576277,0.626382,0.682231,0.667967,0.670058,0.668776,0.621604,0.659239,0.665086,0.636305,0.64247,0.605908,0.649915,0.627535,0.647289,0.627551,0.688639,0.659438,0.604945,0.593061,0.746399,0.64269,0.755744,0.648255,0.648789,0.662059
9,0.176465,0.176145,0.167891,0.160341,0.201254,0.205231,0.19889,0.203576,0.179273,0.174652,0.23382,0.223934,0.175625,0.184441,0.224928,0.231156,0.197942,0.205065,0.202808,0.208928,0.1989,0.206386,0.208471,0.199573,0.208089,0.191983,0.229725,0.219448,0.217051,0.16132,0.160873,0.170557,0.193436,0.203251,0.207741,0.161993,0.159419,0.162478,0.164146,0.148203,0.152535,0.155471,0.152406,0.172975,0.166041,0.198886,0.198958,0.181116,0.174226,0.173633,0.188937,0.1907,0.194711,0.149169,0.148078,0.166501,0.18597,0.191411,0.188797,0.190069,0.169514,0.19293,0.192263,0.169785,0.178675,0.159816,0.177386,0.170492,0.178971,0.173026,0.187914,0.174063,0.165921,0.160469,0.25026,0.193057,0.257431,0.194759,0.200529,0.203396
