,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.054758,0.053109,0.050833,0.04593,0.065947,0.067039,0.066907,0.067745,0.055626,0.052713,0.082793,0.077742,0.054119,0.058469,0.079982,0.081765,0.065818,0.068542,0.067248,0.07062,0.065074,0.067504,0.069417,0.066546,0.073133,0.061431,0.081089,0.075292,0.074731,0.04479,0.043544,0.04868,0.061047,0.063511,0.068328,0.045677,0.044693,0.047764,0.047617,0.038271,0.041426,0.043379,0.041015,0.051767,0.049072,0.068739,0.066909,0.057688,0.054213,0.051822,0.061749,0.062799,0.063052,0.040669,0.040937,0.047645,0.055945,0.060781,0.058208,0.061262,0.052225,0.064014,0.061728,0.049303,0.054103,0.044715,0.05256,0.050376,0.053925,0.053283,0.059314,0.051927,0.052425,0.049433,0.094608,0.063967,0.099062,0.064977,0.072748,0.069319
1,0.056368,0.05473,0.05237,0.047416,0.067734,0.068857,0.068645,0.069519,0.057229,0.054293,0.084799,0.079683,0.05572,0.060161,0.08191,0.083754,0.06756,0.070338,0.069055,0.072449,0.06683,0.069312,0.071233,0.068288,0.074917,0.063157,0.08304,0.077177,0.076607,0.046335,0.045097,0.05027,0.062831,0.065352,0.070201,0.04722,0.046205,0.049285,0.049147,0.039709,0.042882,0.044847,0.042473,0.053345,0.050583,0.070425,0.06863,0.059309,0.055771,0.05341,0.063426,0.06448,0.064774,0.042075,0.042328,0.049208,0.057623,0.062499,0.059918,0.062948,0.053745,0.065704,0.063431,0.050867,0.055736,0.046209,0.054182,0.051924,0.055572,0.054852,0.060928,0.05346,0.053879,0.050845,0.09666,0.065663,0.101144,0.066701,0.074417,0.071086
2,0.30943,0.311621,0.299844,0.291724,0.345853,0.353106,0.342999,0.350545,0.316021,0.311646,0.389879,0.379131,0.311996,0.321735,0.378712,0.390401,0.340383,0.352616,0.345815,0.358477,0.343478,0.356548,0.361384,0.345703,0.354298,0.332726,0.388218,0.374615,0.367644,0.2927,0.291273,0.302564,0.334053,0.352059,0.352749,0.291981,0.287644,0.291847,0.295595,0.275191,0.280045,0.281455,0.279906,0.309595,0.298677,0.342375,0.345257,0.317163,0.308656,0.308705,0.329467,0.3308,0.338802,0.275421,0.273671,0.299592,0.330054,0.333916,0.332343,0.332358,0.301743,0.332828,0.334288,0.305757,0.316091,0.289172,0.319626,0.305746,0.317165,0.304772,0.338084,0.318462,0.296277,0.287409,0.408473,0.32891,0.417403,0.332442,0.33791,0.343159
3,0.054019,0.052369,0.050323,0.04554,0.065408,0.066537,0.066551,0.067214,0.05544,0.052376,0.082423,0.077294,0.053901,0.058182,0.079331,0.081048,0.065377,0.068257,0.066601,0.06997,0.064589,0.067024,0.069325,0.066409,0.072754,0.060789,0.080698,0.07501,0.074078,0.044306,0.042574,0.048124,0.060079,0.062237,0.067486,0.044927,0.043883,0.047354,0.047225,0.037709,0.040995,0.042877,0.040477,0.051851,0.049226,0.069365,0.067501,0.057674,0.054178,0.051661,0.061617,0.062642,0.063048,0.041104,0.04119,0.047579,0.056021,0.060528,0.05833,0.061658,0.052375,0.06385,0.061668,0.049469,0.05388,0.044304,0.052484,0.050524,0.053759,0.053273,0.059421,0.052006,0.052036,0.049371,0.094968,0.06426,0.099246,0.065283,0.073041,0.069875
4,0.505394,0.51079,0.489948,0.484754,0.552656,0.566796,0.552733,0.563815,0.51742,0.510675,0.611315,0.604139,0.51154,0.520737,0.603573,0.622301,0.545543,0.564758,0.550965,0.57415,0.558186,0.577661,0.581665,0.557607,0.559835,0.537034,0.62334,0.601974,0.59168,0.483273,0.482321,0.500984,0.535453,0.566196,0.562633,0.478254,0.473869,0.480753,0.487478,0.462455,0.465578,0.463652,0.461984,0.503602,0.491008,0.545433,0.550172,0.512537,0.505719,0.502139,0.529679,0.530316,0.542715,0.458911,0.457746,0.496083,0.546908,0.539601,0.539209,0.538622,0.49889,0.536326,0.540013,0.507432,0.516372,0.481476,0.523169,0.505395,0.515106,0.498117,0.555575,0.530023,0.481169,0.471819,0.623807,0.522599,0.633366,0.525557,0.528097,0.54183
5,0.310576,0.312734,0.3009,0.292767,0.347012,0.354278,0.344161,0.351713,0.317064,0.312798,0.391132,0.380345,0.313099,0.32283,0.37995,0.391605,0.341518,0.353755,0.347025,0.359691,0.344644,0.357756,0.362537,0.346862,0.355431,0.333856,0.389425,0.375878,0.368922,0.293762,0.29229,0.303742,0.335202,0.353256,0.353915,0.293039,0.28869,0.292879,0.296624,0.276193,0.28102,0.282411,0.280908,0.310657,0.299706,0.343453,0.346385,0.318215,0.309711,0.309772,0.330525,0.331875,0.339865,0.276382,0.274628,0.300684,0.331197,0.33502,0.333449,0.333431,0.302799,0.333948,0.335412,0.306874,0.31725,0.290223,0.320742,0.306795,0.318345,0.305896,0.339175,0.319639,0.297351,0.288412,0.409676,0.329987,0.418589,0.333548,0.338923,0.344298
6,0.52206,0.527753,0.502386,0.496372,0.564159,0.579539,0.562405,0.572113,0.525392,0.522659,0.620836,0.612564,0.52517,0.533642,0.612895,0.630801,0.553863,0.570465,0.560611,0.583818,0.56535,0.583514,0.587522,0.565075,0.567128,0.54573,0.626746,0.608715,0.598668,0.497786,0.497806,0.514671,0.550874,0.584787,0.576172,0.495214,0.491151,0.491753,0.499585,0.475882,0.478651,0.476775,0.478015,0.514252,0.498304,0.555219,0.5611,0.517513,0.511142,0.511886,0.537567,0.539458,0.549773,0.460414,0.459081,0.509383,0.553098,0.548146,0.546336,0.542286,0.502081,0.543012,0.54671,0.51509,0.525533,0.492466,0.529215,0.50721,0.530472,0.511574,0.557724,0.531943,0.494976,0.480805,0.624862,0.529198,0.636059,0.531845,0.532909,0.545698
7,0.055161,0.053523,0.051376,0.046611,0.066727,0.067876,0.06785,0.068547,0.056652,0.053534,0.083983,0.078738,0.055091,0.059432,0.080777,0.082501,0.066654,0.069572,0.067925,0.071295,0.065898,0.068374,0.07068,0.067722,0.074015,0.062047,0.082204,0.076493,0.075478,0.045376,0.043612,0.049347,0.061307,0.063562,0.068827,0.045965,0.044923,0.048408,0.048305,0.038679,0.041984,0.043896,0.041468,0.052997,0.050383,0.070677,0.068798,0.05889,0.055365,0.052831,0.062804,0.063863,0.064324,0.04214,0.042208,0.048722,0.05733,0.061804,0.059618,0.062954,0.053556,0.065133,0.062969,0.050687,0.055107,0.045409,0.053631,0.051721,0.054954,0.05447,0.060613,0.053127,0.053052,0.050449,0.096658,0.065593,0.100899,0.066624,0.074309,0.07135
8,0.052834,0.051169,0.049231,0.044469,0.064054,0.06516,0.065235,0.065864,0.054208,0.051184,0.080822,0.075794,0.05265,0.056851,0.077857,0.079563,0.064078,0.066914,0.065281,0.068635,0.063282,0.065668,0.067914,0.065053,0.071434,0.059553,0.079169,0.073516,0.072666,0.0432,0.041506,0.046887,0.058782,0.06091,0.066098,0.043835,0.042799,0.046252,0.046074,0.03669,0.03997,0.041819,0.039445,0.05065,0.048053,0.067967,0.066109,0.056451,0.052985,0.050472,0.06039,0.061378,0.06173,0.040036,0.040149,0.046383,0.054685,0.059215,0.057003,0.060339,0.051211,0.062581,0.060376,0.048221,0.052613,0.04323,0.051304,0.049346,0.052491,0.051996,0.058194,0.050857,0.050981,0.0483,0.09333,0.062885,0.097592,0.063882,0.071725,0.0684
9,0.523873,0.529583,0.504137,0.498161,0.565923,0.581429,0.564187,0.573879,0.527131,0.524486,0.622679,0.614379,0.527026,0.535487,0.614801,0.63266,0.555661,0.572259,0.562402,0.585605,0.567176,0.585447,0.589376,0.566965,0.568928,0.547515,0.628593,0.610605,0.600531,0.49976,0.499639,0.51654,0.552752,0.586633,0.578062,0.497083,0.492967,0.493587,0.501374,0.47771,0.480529,0.478574,0.479864,0.516111,0.500173,0.557128,0.563027,0.519238,0.512927,0.513791,0.539462,0.541319,0.551654,0.46222,0.460865,0.51143,0.555099,0.550008,0.548302,0.544247,0.503893,0.544858,0.548605,0.517016,0.527409,0.494333,0.531115,0.509049,0.532421,0.513476,0.5596,0.533805,0.496867,0.482622,0.62658,0.531076,0.637775,0.533675,0.534695,0.547583
