,0,1,2,3
0,0.01569,0.0145,0.01401,0.01445
1,0.01162,0.01006,0.00981,0.01013
2,0.01078,0.00911,0.00895,0.00922
3,0.00921,0.00732,0.00732,0.00751
4,-0.0059,-0.00984,-0.00796,-0.0088
5,0.01298,0.01156,0.0112,0.01157
6,0.008,0.00465,0.00641,0.00557
7,0.00992,0.00713,0.00833,0.00792
8,0.00727,0.00392,0.00564,0.00483
9,0.00985,0.00806,0.00799,0.00821
10,0.00764,0.00429,0.00601,0.00519
11,0.01389,0.01254,0.01214,0.01253
12,0.01045,0.00873,0.00861,0.00886
13,0.00955,0.00771,0.00767,0.00788
14,0.00775,0.00492,0.00607,0.00569
15,0.00879,0.00685,0.00688,0.00705
16,0.00603,0.00316,0.00427,0.00392
17,0.00838,0.00504,0.0068,0.00595
18,0.01457,0.01184,0.01318,0.01269
19,0.01009,0.00672,0.0086,0.0077
20,0.01115,0.00953,0.00933,0.00962
21,-0.00936,-0.01326,-0.01153,-0.01225
22,0.00879,0.00542,0.0072,0.00634
23,0.00367,0.00022,0.00194,0.00118
24,,,,
25,-0.00668,-0.01061,-0.00877,-0.00959
26,0.02945,0.02848,0.02862,0.0288
27,0.03347,0.03166,0.03287,0.03241
28,-0.00977,-0.0138,-0.01196,-0.01276
29,-0.00979,-0.01378,-0.01197,-0.01276
30,-0.00976,-0.01379,-0.01195,-0.01275
31,0.0053,0.00196,0.00362,0.00282
32,0.00765,0.00558,0.00571,0.00583
33,0.00399,0.00061,0.00229,0.0015
34,0.01137,0.00897,0.00979,0.00955
35,-0.0044,-0.00829,-0.0064,-0.00726
36,0.02656,0.02546,0.02564,0.0258
37,-0.00683,-0.01076,-0.00892,-0.00974
38,0.02361,0.023,0.02213,0.02273
39,0.00659,0.00323,0.00493,0.00411
40,0.01843,0.01713,0.01726,0.01745
41,0.0051,0.00174,0.00342,0.00261
42,-0.00653,-0.01045,-0.00861,-0.00944
43,0.03253,0.03168,0.03184,0.03201
44,0.02621,0.02577,0.02484,0.02546
45,0.00501,0.00211,0.00323,0.00287
46,0.01018,0.00751,0.00842,0.0081
47,0.0288,0.0275,0.02743,0.02743
48,-0.00979,-0.0138,-0.01198,-0.01276
49,,,,
50,0.03235,0.03111,0.03112,0.0311
51,-0.00965,-0.01362,-0.01185,-0.0126
52,0.01921,0.01663,0.01799,0.01748
53,0.0222,0.02024,0.02087,0.02067
54,0.01675,0.01483,0.01546,0.01539
55,-0.00606,-0.00999,-0.00813,-0.00897
56,-0.00167,-0.00542,-0.00358,-0.00441
57,0.00341,-5e-05,0.00168,0.00089
58,0.0053,0.00267,0.00332,0.00315
59,0.03573,0.03457,0.03471,0.03465
60,-0.00572,-0.00965,-0.00779,-0.00863
61,0.01253,0.01066,0.01117,0.01116
62,0.01453,0.01284,0.01323,0.01328
63,-0.00157,-0.0053,-0.00345,-0.00429
64,-0.00179,-0.00553,-0.00369,-0.00452
65,0.02669,0.02529,0.02587,0.02582
66,-0.00146,-0.0052,-0.00334,-0.00418
67,0.02984,0.02776,0.02898,0.02857
68,0.01712,0.01614,0.01552,0.01601
69,-0.00137,-0.00509,-0.00323,-0.00406
70,0.03258,0.03132,0.03137,0.03133
71,-0.00509,-0.009,-0.00712,-0.00797
72,-0.00503,-0.0085,-0.00706,-0.00761
73,0.01095,0.00761,0.00951,0.00859
74,,,,
75,0.04182,0.04065,0.04127,0.04101
76,-0.00697,-0.01091,-0.00906,-0.00988
77,-0.00422,-0.0081,-0.00622,-0.00707
78,0.02709,0.0264,0.02624,0.02662
79,0.03169,0.02931,0.0308,0.03007
80,0.00695,0.0048,0.00499,0.00507
81,0.02145,0.02017,0.0204,0.02055
82,-0.00931,-0.01333,-0.01149,-0.01231
83,0.01817,0.01677,0.01696,0.01713
84,0.06379,0.06302,0.06422,0.06375
85,-0.0046,-0.00848,-0.0066,-0.00746
86,0.02556,0.02475,0.02465,0.02498
87,0.0311,0.03071,0.03038,0.03084
88,0.02981,0.02937,0.02904,0.02951
89,0.05344,0.05204,0.05357,0.05293
90,0.00574,0.0024,0.00409,0.00329
91,0.03318,0.03278,0.03256,0.03296
92,0.05927,0.05812,0.05959,0.05898
93,0.06274,0.06182,0.06316,0.06262
94,-0.00969,-0.01372,-0.01187,-0.01267
95,0.00022,-0.00339,-0.00159,-0.0024
