,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.07667,0.17884,0.03896,0.07162,0.0459,0.01943,0.05309,0.1035,0.09098,0.1094,0.0799,0.05532,0.04593,0.10195,0.05723,0.05284
1,0.18916,0.15104,0.19457,0.24936,0.15594,0.15985,0.07898,0.17365,0.19448,0.15635,0.1163,0.1967,0.17358,0.15987,0.10078,0.0452
2,0.1392,0.19352,0.03896,0.13582,0.18676,0.18546,0.14373,0.15755,0.14706,0.03049,0.13539,0.13381,0.07333,0.1667,0.11944,0.11748
3,0.14375,0.06451,0.13782,0.28013,0.06351,0.04946,0.13466,0.1955,0.26328,0.05744,0.13672,0.08455,0.2321,0.05728,0.2563,0.17294
4,0.11387,0.15104,0.15566,0.20479,0.06917,0.12541,0.17351,0.14892,0.18176,0.08843,0.08079,0.12694,0.08963,0.07138,0.16547,0.13036
5,0.03384,0.01731,0.05513,0.0955,0.04716,0.03003,0.01554,0.03277,0.02626,0.01823,0.02787,0.03261,0.03012,0.01517,0.01866,0.03166
6,0.32945,0.15576,0.38266,0.02949,0.23077,0.14219,0.03338,0.33637,0.43131,0.10302,0.30763,0.18354,0.17655,0.1838,0.42675,0.39348
7,0.21142,0.2208,0.03896,0.18887,0.21254,0.22609,0.19681,0.15985,0.20609,0.19191,0.23616,0.21382,0.13803,0.10109,0.19409,0.20766
8,0.38288,0.43163,0.27403,0.34591,0.32132,0.38418,0.48685,0.47666,0.35488,0.47224,0.56509,0.47492,0.26692,0.36483,0.28118,0.27316
9,0.09864,0.06713,0.16863,0.09125,0.05093,0.10156,0.17998,0.09257,0.10879,0.04376,0.07191,0.06498,0.0558,0.0436,0.17667,0.16704
10,0.16206,0.13321,0.12972,0.19948,0.14085,0.16957,0.16444,0.14375,0.1841,0.14176,0.02841,0.26529,0.18766,0.10494,0.08958,0.13014
11,0.14187,0.12325,0.10377,0.20638,0.15469,0.12718,0.15408,0.14547,0.20171,0.21971,0.05993,0.13556,0.18716,0.09169,0.14681,0.17075
12,,,,,,,,,,,,,,,,
13,0.08014,0.08286,0.03405,0.12096,0.14777,0.09362,0.0492,0.07475,0.05109,0.08479,0.06792,0.11797,0.10395,0.1013,0.04852,0.02882
14,0.10339,0.05717,0.16701,0.0817,0.03773,0.03542,0.03108,0.1012,0.08712,0.04285,0.03818,0.07849,0.04148,0.02629,0.03342,0.01594
15,0.09903,0.06084,0.05999,0.11035,0.04276,0.04416,0.09452,0.07072,0.09902,0.06518,0.04794,0.10598,0.03432,0.06882,0.05723,0.12577
16,0.0838,0.04458,0.05027,0.0695,0.03207,0.04239,0.05309,0.08797,0.11856,0.03054,0.02787,0.04891,0.04914,0.0218,0.07465,0.06048
17,0.08083,0.08496,0.06486,0.10823,0.0874,0.13336,0.08805,0.09545,0.06981,0.10256,0.07324,0.07488,0.12494,0.03911,0.12317,0.07795
18,0.07796,0.08234,0.05351,0.0817,0.09621,0.06182,0.09711,0.06325,0.06605,0.0939,0.04128,0.05881,0.13309,0.09639,0.04603,0.05786
19,0.07737,0.07447,0.03896,0.16394,0.04653,0.05917,0.11006,0.06267,0.1151,0.0588,0.03995,0.07162,0.14815,0.03484,0.08709,0.09892
20,0.07658,0.08496,0.03081,0.09444,0.05722,0.03268,0.09841,0.09315,0.07623,0.04832,0.09943,0.07593,0.12716,0.04317,0.09829,0.09149
21,0.07351,0.06346,0.03896,0.07587,0.07734,0.06624,0.0751,0.069,0.03603,0.07293,0.16025,0.09573,0.12889,0.03911,0.07963,0.08385
22,0.13158,0.15052,0.03896,0.1337,0.09432,0.09715,0.101,0.14662,0.11103,0.08387,0.0586,0.11937,0.13605,0.10408,0.07838,0.0476
23,0.09765,0.12272,0.10864,0.11884,0.08426,0.15102,0.15538,0.1127,0.10309,0.13629,0.1132,0.06883,0.17013,0.0887,0.08585,0.069
24,0.0278,0.03461,0.03896,0.04669,0.03207,0.13336,0.03338,0.0391,0.08274,0.04148,0.05016,0.05555,0.07185,0.07395,0.02115,0.02904
25,,,,,,,,,,,,,,,,
26,0.04848,0.04615,0.0454,0.11566,0.06288,0.08213,0.04273,0.05462,0.04641,0.04057,0.01909,0.09491,0.0521,0.02479,0.04355,0.05983
27,0.04096,0.02413,0.07297,0.05305,0.03144,0.04063,0.06215,0.02875,0.03593,0.03966,0.03374,0.04658,0.05778,0.02116,0.01866,0.03952
28,0.07549,0.05507,0.03896,0.0817,0.11004,0.06535,0.08028,0.06267,0.06992,0.09026,0.05948,0.05567,0.10173,0.0306,0.10326,0.05088
29,0.05847,0.02517,0.03896,0.05783,0.01069,0.01236,0.02849,0.05002,0.03847,0.0155,0.02885,0.04635,0.05457,0.01774,0.03981,0.03184
30,0.0368,0.05874,0.03896,0.04457,0.03858,0.0627,0.07122,0.0437,0.04234,0.08387,0.04528,0.04006,0.06642,0.03954,0.03732,0.06398
31,0.05323,0.06136,0.08107,0.10664,0.05533,0.03542,0.04791,0.05175,0.06218,0.05607,0.04395,0.08886,0.07778,0.04061,0.07465,0.03184
32,0.04808,0.02798,0.12809,0.0626,0.01886,0.03542,0.03367,0.0391,0.08457,0.0465,0.02787,0.02725,0.03482,0.0306,0.03484,0.05066
33,0.0744,0.05349,0.03896,0.02918,0.06351,0.14572,0.0505,0.04025,0.04854,0.06199,0.04217,0.08269,0.01951,0.03997,0.03235,0.04433
34,0.07242,0.08601,0.06648,0.07003,0.15972,0.07772,0.04143,0.05232,0.03918,0.06382,0.03462,0.08327,0.06198,0.09276,0.02239,0.0511
35,0.06273,0.05454,0.06648,0.06579,0.04024,0.04504,0.08934,0.04657,0.04966,0.05607,0.11852,0.05357,0.1084,0.0374,0.02239,0.06311
36,0.02988,0.01836,0.05189,0.03395,0.04905,0.04328,0.03755,0.0253,0.03338,0.02553,0.04261,0.01479,0.02593,0.05557,0.03608,0.07249
37,0.03819,0.04353,0.05513,0.07162,0.05533,0.06182,0.04661,0.03967,0.04966,0.06382,0.03951,0.07384,0.09185,0.05813,0.04977,0.02729
38,,,,,,,,,,,,,,,,
39,0.02632,0.03619,0.03896,0.02228,0.01761,0.03179,0.02719,0.0322,0.03104,0.05151,0.01154,0.0262,0.08963,0.01389,0.02115,0.01004
40,0.02028,0.00577,0.06324,0.02494,0.02327,0.0159,0.01295,0.02127,0.03766,0.01185,0.02131,0.02154,0.05556,0.00085,0.01866,0.0297
41,0.00604,0.00262,0.03896,0.00796,0.03858,0.0053,0.01036,0.00287,0.00967,0.03049,0.00888,0.00594,0.00988,0.0306,0.00995,0.00633
42,0.03433,0.06241,0.01784,0.04032,0.05533,0.07595,0.06086,0.03392,0.03165,0.03282,0.03285,0.06929,0.02938,0.028,0.0535,0.0428
43,0.03433,0.03094,0.04216,0.1146,0.02012,0.0627,0.06086,0.04025,0.03918,0.04194,0.05549,0.04973,0.10692,0.03697,0.06096,0.05415
44,0.03077,0.01416,0.05027,0.06526,0.00314,0.01943,0.02849,0.0276,0.02829,0.01003,0.0435,0.02853,0.02864,0.00492,0.03342,0.03184
45,0.02117,0.02622,0.03243,0.02494,0.02264,0.01501,0.03884,0.01552,0.00987,0.01732,0.01509,0.02178,0.05408,0.02308,0.00746,0.03184
46,0.04343,0.03514,0.0227,0.05677,0.03081,0.0627,0.04661,0.03507,0.03491,0.05242,0.03107,0.03109,0.04741,0.02287,0.02986,0.03184
47,0.07578,0.08339,0.02919,0.07268,0.11633,0.12011,0.09582,0.06497,0.06391,0.09162,0.11808,0.12904,0.07679,0.0306,0.07216,0.07162
48,0.028,0.01154,0.03896,0.01698,0.03333,0.02473,0.05309,0.00977,0.0174,0.01368,0.03329,0.01619,0.00963,0.00898,0.0647,0.04716
49,0.03126,0.02413,0.03896,0.03661,0.02075,0.01148,0.02331,0.02645,0.03023,0.04285,0.01598,0.03086,0.01951,0.01517,0.01493,0.03184
50,0.03453,0.0687,0.04054,0.03183,0.0371,0.02208,0.04014,0.03277,0.02748,0.05561,0.07102,0.03529,0.0484,0.07459,0.03608,0.02577
51,,,,,,,,,,,,,,,,
52,0.0253,0.00157,0.03896,0.00371,0.03858,0.00353,0.00647,0.02543,0.00315,0.03049,0.02787,0.00314,0.00963,0.0306,0.03342,0.00655
53,0.01771,0.01416,0.03896,0.02865,0.00503,0.01236,0.02849,0.0138,0.01771,0.00547,0.03507,0.03389,0.04617,0.00556,0.03981,0.03184
54,0.00089,0.00157,0.03896,0.02949,0.03858,0.0053,0.03338,0.00172,0.00173,0.00365,0.02787,0.00151,0.00222,0.0306,0.03342,0.03184
55,0.00317,0.00315,0.03896,0.00159,0.00629,0.03542,0.03338,0.0023,0.00214,0.03049,0.00799,0.02788,0.00889,0.0306,0.00746,0.00961
56,0.02276,0.02832,0.03891,0.0451,0.01258,0.02649,0.03496,0.02185,0.02422,0.01231,0.01554,0.01852,0.03361,0.01026,0.04479,0.02424
57,0.00406,0.00262,0.03896,0.00477,0.03858,0.03542,0.03338,0.01092,0.02438,0.03049,0.00444,0.00477,0.00321,0.00214,0.00995,0.03184
58,0.00188,0.02798,0.00811,0.00265,0.03858,0.03542,0.03338,0.00172,0.02438,0.00365,0.02787,0.02788,0.03361,0.0306,0.03342,0.03184
59,0.01326,0.03042,0.03896,0.02228,0.04339,0.03542,0.03338,0.02012,0.01089,0.0433,0.02787,0.02788,0.00741,0.02907,0.03342,0.01135
60,0.00317,0.00577,0.03896,0.02949,0.03858,0.00795,0.00518,0.00287,0.00112,0.03049,0.00621,0.02788,0.00395,0.0306,0.03342,0.03184
61,0.01959,0.00787,0.00973,0.01432,0.0132,0.01236,0.01424,0.0092,0.01018,0.00957,0.02787,0.01351,0.03361,0.00663,0.00871,0.03184
62,0.05352,0.01206,0.03896,0.00955,0.02641,0.02914,0.03338,0.00977,0.01791,0.01003,0.02042,0.03564,0.03361,0.02308,0.01617,0.01965
63,0.02543,0.01993,0.04054,0.03236,0.05722,0.02561,0.03496,0.02185,0.03623,0.05151,0.02131,0.03715,0.02049,0.0306,0.01991,0.02467
64,,,,,,,,,,,,,,,,
65,0.02008,0.01049,0.01784,0.03449,0.01824,0.01766,0.01813,0.02817,0.02412,0.01094,0.02175,0.0177,0.02321,0.03078,0.03342,0.02555
66,0.00505,0.01154,0.03896,0.00584,0.00314,0.02208,0.00518,0.00632,0.00407,0.02598,0.00577,0.01386,0.01259,0.01496,0.03342,0.03184
67,0.01187,0.01468,0.03896,0.0122,0.0132,0.0053,0.00647,0.01207,0.0114,0.04011,0.01199,0.0106,0.02148,0.02223,0.03342,0.00328
68,0.01771,0.02885,0.01621,0.02334,0.04653,0.02826,0.02719,0.01495,0.01262,0.0114,0.01332,0.01968,0.01506,0.02009,0.02239,0.03184
69,0.00475,0.00367,0.03896,0.01114,0.03858,0.03542,0.03338,0.00632,0.00417,0.03049,0.00932,0.00454,0.02148,0.00107,0.03342,0.03184
70,0.01761,0.03986,0.00811,0.02441,0.02704,0.01943,0.0246,0.01782,0.01313,0.03145,0.01598,0.01724,0.0242,0.0094,0.01493,0.00524
71,0.00752,0.0021,0.03896,0.01963,0.03858,0.03542,0.00518,0.01092,0.04081,0.03049,0.00266,0.00652,0.00864,0.0306,0.0535,0.03184
72,0.01771,0.02517,0.01784,0.02387,0.0088,0.03091,0.02201,0.0184,0.01812,0.03738,0.0182,0.017,0.05087,0.01154,0.0112,0.01266
73,0.00228,0.00577,0.03896,0.0069,0.03858,0.00353,0.03338,0.00345,0.00214,0.0041,0.00311,0.00291,0.03361,0.0306,0.0112,0.00284
74,0.02206,0.02989,0.03896,0.02759,0.02893,0.03003,0.05179,0.02357,0.02127,0.04741,0.02885,0.0184,0.02815,0.02265,0.03981,0.0535
75,0.00534,0.00629,0.00811,0.00796,0.03858,0.0053,0.03338,0.00575,0.00448,0.03049,0.01554,0.00105,0.03361,0.0306,0.02239,0.02555
76,0.0253,0.0021,0.00486,0.00318,0.03858,0.03542,0.00647,0.0046,0.00641,0.03049,0.02787,0.02788,0.0037,0.0306,0.03342,0.03184
77,,,,,,,,,,,,,,,,
78,0.00455,0.00524,0.03896,0.00424,0.00314,0.00265,0.00647,0.00287,0.00132,0.00593,0.00355,0.00641,0.00716,0.00684,0.03342,0.03184
79,0.00534,0.02798,0.03896,0.00424,0.03858,0.03542,0.03338,0.00287,0.00366,0.03049,0.00222,0.00419,0.03361,0.0306,0.01369,0.03184
80,0.00336,0.02798,0.03896,0.00265,0.03858,0.03542,0.03338,0.00172,0.00183,0.03049,0.02787,0.02131,0.01012,0.0306,0.03342,0.03184
81,0.00228,0.0021,0.03896,0.00265,0.00943,0.0053,0.03338,0.0023,0.00122,0.0155,0.00444,0.0099,0.0037,0.0306,0.03342,0.00284
82,0.00366,0.00629,0.03896,0.00477,0.00692,0.01325,0.03338,0.00402,0.00193,0.00866,0.00311,0.00408,0.0121,0.00663,0.03342,0.03184
83,0.01761,0.01364,0.03896,0.03661,0.03858,0.00795,0.03237,0.01265,0.01119,0.01048,0.00888,0.01328,0.05383,0.00513,0.01369,0.01616
84,0.00702,0.00629,0.03896,0.0069,0.03858,0.00442,0.00777,0.00575,0.00448,0.03049,0.00178,0.01153,0.02938,0.0306,0.03342,0.01681
85,0.01791,0.01573,0.01297,0.03024,0.00566,0.01678,0.03338,0.02012,0.02789,0.02553,0.0253,0.01747,0.02198,0.01667,0.0311,0.03184
86,0.0253,0.02798,0.03896,0.00159,0.03858,0.03542,0.03338,0.0023,0.00092,0.00182,0.00133,0.00175,0.00642,0.0306,0.03342,0.03184
87,0.0089,0.01731,0.02108,0.00902,0.01383,0.0106,0.00518,0.0069,0.00712,0.02234,0.00133,0.00687,0.0079,0.0203,0.03342,0.0166
88,0.02018,0.03776,0.01784,0.0191,0.01824,0.03542,0.01942,0.02702,0.01506,0.0506,0.02787,0.02387,0.02642,0.04574,0.01617,0.01834
89,0.02276,0.03776,0.01297,0.00743,0.15406,0.03179,0.00906,0.01667,0.0056,0.02051,0.00799,0.03191,0.03361,0.0545,0.01866,0.01703
90,,,,,,,,,,,,,,,,
91,0.01355,0.01311,0.03896,0.01326,0.01761,0.02473,0.03338,0.0092,0.00794,0.02462,0.01509,0.02644,0.00864,0.00769,0.03342,0.03184
92,0.0253,0.00262,0.03896,0.0122,0.03858,0.00265,0.03338,0.0069,0.00448,0.00228,0.00577,0.0092,0.0242,0.0306,0.01244,0.01397
93,0.00465,0.0042,0.00486,0.00318,0.03858,0.03542,0.03338,0.00517,0.00326,0.03049,0.02787,0.00897,0.00617,0.0306,0.03342,0.03184
94,0.01286,0.0215,0.01297,0.02387,0.03584,0.01855,0.01683,0.02127,0.01547,0.02006,0.00577,0.01118,0.03136,0.01881,0.01369,0.00786
95,0.00267,0.00315,0.03896,0.00265,0.03858,0.00795,0.03338,0.00287,0.00122,0.0041,0.00355,0.00245,0.00765,0.00278,0.03342,0.03184
96,0.00198,0.00262,0.03896,0.00265,0.03858,0.03542,0.03338,0.02543,0.00153,0.00182,0.02787,0.00163,0.00494,0.00214,0.03342,0.00153
97,0.00455,0.00472,0.03896,0.00902,0.03858,0.03542,0.00906,0.00747,0.02438,0.00456,0.00666,0.0099,0.00173,0.00492,0.03342,0.00917
98,0.00445,0.00315,0.03896,0.00796,0.03858,0.00353,0.00518,0.00575,0.00295,0.00228,0.004,0.00792,0.03361,0.0306,0.03342,0.03184
99,0.02513,0.02517,0.01135,0.02016,0.0459,0.05564,0.01942,0.02472,0.01435,0.03054,0.01864,0.03377,0.03361,0.02052,0.01991,0.02686
100,0.00881,0.00787,0.01135,0.02334,0.01572,0.0159,0.03338,0.00747,0.01058,0.01231,0.00577,0.02788,0.03361,0.0306,0.03342,0.03184
101,0.00158,0.02798,0.00649,0.00584,0.03858,0.03542,0.03338,0.02543,0.00102,0.03049,0.02787,0.0021,0.01136,0.0306,0.03342,0.03184
102,0.00148,0.00367,0.03896,0.00477,0.00189,0.00883,0.03338,0.00345,0.00295,0.03049,0.02787,0.00477,0.03361,0.0306,0.00373,0.00131
103,,,,,,,,,,,,,,,,
104,0.00218,0.00734,0.00486,0.00265,0.00189,0.03542,0.03338,0.00287,0.00387,0.00957,0.00488,0.00571,0.00444,0.00214,0.03342,0.03184
105,0.00247,0.00262,0.03896,0.0069,0.03858,0.00265,0.03338,0.00345,0.00305,0.00365,0.004,0.0021,0.00914,0.0015,0.00622,0.03184
106,0.00425,0.00262,0.03896,0.01857,0.03858,0.03542,0.00777,0.00517,0.00499,0.03049,0.02787,0.00245,0.01012,0.00085,0.03342,0.00873
107,0.00445,0.0042,0.03896,0.00265,0.03858,0.00442,0.03338,0.0023,0.00315,0.01732,0.02787,0.00652,0.00568,0.0306,0.03342,0.01703
108,0.01623,0.01521,0.02594,0.02547,0.00629,0.03542,0.01942,0.01725,0.01343,0.0114,0.03329,0.01654,0.02099,0.01069,0.00995,0.00983
