,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.38288,0.43163,0.27403,0.34591,0.32132,0.38418,0.48685,0.47666,0.35488,0.47224,0.56509,0.47492,0.26692,0.36483,0.28118,0.27316
1,0.18916,0.15104,0.19457,0.24936,0.15594,0.15985,0.07898,0.17365,0.19448,0.15635,0.1163,0.1967,0.17358,0.15987,0.10078,0.0452
2,0.13158,0.15052,0.03896,0.1337,0.09432,0.09715,0.101,0.14662,0.11103,0.08387,0.0586,0.11937,0.13605,0.10408,0.07838,0.0476
3,0.09498,0.12535,0.10215,0.14696,0.09558,0.0733,0.20329,0.13282,0.10839,0.09892,0.10121,0.09165,0.07827,0.05322,0.10326,0.05044
4,0.14187,0.12325,0.10377,0.20638,0.15469,0.12718,0.15408,0.14547,0.20171,0.21971,0.05993,0.13556,0.18716,0.09169,0.14681,0.17075
5,0.07667,0.17884,0.03896,0.07162,0.0459,0.01943,0.05309,0.1035,0.09098,0.1094,0.0799,0.05532,0.04593,0.10195,0.05723,0.05284
6,0.09864,0.06713,0.16863,0.09125,0.05093,0.10156,0.17998,0.09257,0.10879,0.04376,0.07191,0.06498,0.0558,0.0436,0.17667,0.16704
7,0.21142,0.2208,0.03896,0.18887,0.21254,0.22609,0.19681,0.15985,0.20609,0.19191,0.23616,0.21382,0.13803,0.10109,0.19409,0.20766
8,0.16859,0.28583,0.03896,0.13582,0.08363,0.03542,0.03338,0.18572,0.15164,0.32547,0.10698,0.02788,0.23383,0.32849,0.03342,0.15656
9,0.14375,0.06451,0.13782,0.28013,0.06351,0.04946,0.13466,0.1955,0.26328,0.05744,0.13672,0.08455,0.2321,0.05728,0.2563,0.17294
10,0.16206,0.13321,0.12972,0.19948,0.14085,0.16957,0.16444,0.14375,0.1841,0.14176,0.02841,0.26529,0.18766,0.10494,0.08958,0.13014
11,0.32945,0.15576,0.38266,0.02949,0.23077,0.14219,0.03338,0.33637,0.43131,0.10302,0.30763,0.18354,0.17655,0.1838,0.42675,0.39348
12,,,,,,,,,,,,,,,,
13,0.07242,0.08601,0.06648,0.07003,0.15972,0.07772,0.04143,0.05232,0.03918,0.06382,0.03462,0.08327,0.06198,0.09276,0.02239,0.0511
14,0.093,0.10804,0.06324,0.05942,0.17166,0.07948,0.13337,0.08222,0.06473,0.13265,0.09233,0.07151,0.04667,0.09126,0.12442,0.06747
15,0.04521,0.09702,0.03896,0.04616,0.08929,0.03542,0.03338,0.0552,0.03633,0.08387,0.04883,0.02788,0.03556,0.11135,0.03342,0.02336
16,0.03453,0.0687,0.04054,0.03183,0.0371,0.02208,0.04014,0.03277,0.02748,0.05561,0.07102,0.03529,0.0484,0.07459,0.03608,0.02577
17,0.08014,0.08286,0.03405,0.12096,0.14777,0.09362,0.0492,0.07475,0.05109,0.08479,0.06792,0.11797,0.10395,0.1013,0.04852,0.02882
18,0.09765,0.12272,0.10864,0.11884,0.08426,0.15102,0.15538,0.1127,0.10309,0.13629,0.1132,0.06883,0.17013,0.0887,0.08585,0.069
